gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,45.6,19.8,0.0,1.8,null
002,50.9,26.8,0.0,4.0,null
003,487.3,133.0,0.1,13.1,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
004,486.3,214.3,0.2,23.7,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
005,478.3,291.9,0.4,29.9,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
006,482.3,306.7,0.5,30.5,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
007,485.8,303.8,0.7,32.8,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
008,485.5,385.0,0.9,40.7,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
009,494.2,485.2,1.2,51.3,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
010,481.9,476.5,1.4,52.7,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
011,495.4,482.7,1.7,52.5,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
012,490.0,482.2,1.9,48.1,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
013,489.4,484.3,2.1,42.8,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
014,485.2,474.9,2.4,43.7,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
015,485.4,482.2,2.6,43.8,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
016,488.2,482.0,2.8,49.2,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
017,490.1,479.7,3.1,52.0,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
018,486.0,483.8,3.3,48.5,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
019,489.9,479.5,3.5,43.9,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
020,485.6,481.3,3.8,45.3,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
021,491.5,479.1,4.0,42.9,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
022,486.7,478.1,4.2,41.5,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
023,492.7,482.8,4.4,41.8,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
024,492.0,485.4,4.6,40.8,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
025,486.2,481.0,4.8,41.9,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
026,488.4,482.3,5.1,45.2,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
027,487.2,482.9,5.3,42.3,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
028,492.9,487.4,5.5,42.0,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
029,489.9,481.7,5.7,41.6,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
030,493.2,482.2,5.9,45.0,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
031,488.4,483.0,6.1,44.5,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
032,486.6,482.7,6.4,46.3,"[1.491627379681612, -0.942792786931211, 1.6889925638848, 1.0852023226804781]"
