gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,103.0,22.0,3.1,31.4,null
002,118.4,28.8,7.0,38.8,null
003,114.4,28.8,11.1,40.5,null
004,132.6,34.6,15.8,46.9,null
005,124.5,36.8,20.9,51.4,null
006,118.3,30.3,25.2,43.0,null
007,115.8,43.0,31.2,59.3,null
008,147.5,52.4,38.6,74.2,null
009,134.7,64.2,47.7,90.8,null
010,122.2,65.6,57.0,93.0,null
011,120.5,70.1,67.3,100.0,null
012,123.2,65.5,76.9,95.8,null
013,140.0,26.3,80.7,37.5,null
014,127.4,40.3,86.6,59.6,null
015,124.9,63.0,95.9,92.9,null
016,97.9,16.6,98.2,22.9,null
017,112.8,30.2,102.5,42.5,null
018,112.3,52.0,110.3,77.5,null
019,125.5,21.1,113.4,31.1,null
020,178.1,47.2,121.1,76.9,null
021,146.6,53.5,129.8,83.2,null
022,173.0,55.0,137.7,78.8,null
023,185.5,57.6,146.1,83.1,null
024,199.4,58.5,154.6,85.8,null
025,152.2,59.5,163.5,88.9,null
026,150.3,63.6,173.2,96.2,null
027,187.7,67.2,183.4,102.7,null
028,178.8,68.0,193.8,103.6,null
029,169.3,65.6,203.7,99.0,null
030,163.8,68.6,214.2,105.2,null
031,173.5,69.6,225.2,104.6,null
032,217.7,74.7,236.5,112.3,null
033,234.7,98.3,252.2,157.1,null
034,190.3,96.1,267.3,150.8,null
035,177.8,97.9,282.8,155.0,null
036,194.3,99.9,298.5,157.2,null
037,222.9,94.0,313.1,145.7,null
038,228.4,99.7,328.4,153.4,null
039,246.6,104.8,344.7,162.5,null
040,191.2,103.5,360.6,158.6,null
041,213.0,100.8,377.1,159.5,null
042,195.9,100.6,392.9,157.6,null
043,191.2,96.8,408.1,151.4,null
044,265.6,101.2,423.5,154.6,null
045,201.0,102.6,439.6,160.9,null
046,246.1,101.2,455.2,155.3,null
047,219.8,102.6,471.2,160.4,null
048,186.0,95.6,485.8,146.0,null
049,209.8,96.7,500.7,148.3,null
050,207.8,99.9,516.2,154.9,null
051,241.9,102.2,533.4,165.2,null
052,212.6,101.1,550.1,166.9,null
053,211.9,100.0,565.8,156.3,null
054,167.8,99.0,582.6,168.8,null
