gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,222.1,82.0,0.1,11.4,null
002,269.3,131.1,0.1,17.3,null
003,228.2,123.8,0.2,15.4,null
004,237.4,136.4,0.3,16.6,null
005,246.2,192.1,0.4,21.4,null
006,494.1,277.0,0.6,29.9,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
007,495.0,357.2,0.8,37.1,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
008,496.6,443.2,0.9,38.5,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
009,495.9,436.6,1.1,36.6,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
010,496.2,443.2,1.3,40.3,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
011,495.7,494.8,1.6,47.6,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
012,497.4,494.8,1.8,46.0,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
013,496.2,495.0,2.0,45.6,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
014,495.4,494.1,2.2,42.2,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
015,497.2,495.6,2.5,41.4,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
016,495.6,494.6,2.7,43.2,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
017,495.2,494.2,2.9,41.9,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
018,496.8,495.2,3.1,41.2,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
019,496.1,494.8,3.3,41.0,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
020,495.5,494.3,3.5,40.2,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
021,496.2,495.5,3.7,42.0,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
022,495.1,494.4,3.9,40.9,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
023,495.8,495.3,4.1,40.6,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
024,496.0,494.8,4.3,42.0,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
025,496.5,495.8,4.5,40.2,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
026,495.8,495.1,4.7,39.8,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
027,495.0,494.1,4.9,42.2,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
028,496.3,495.4,5.2,51.7,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
029,495.9,494.9,5.5,55.4,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
030,495.6,495.0,5.7,47.1,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
031,497.2,495.0,5.9,43.7,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
032,495.8,494.6,6.2,42.0,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
033,496.5,495.1,6.4,42.9,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
034,495.7,495.0,6.6,39.3,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
035,495.3,494.5,6.8,39.4,"[0.83151852849641, 0.5667395410331488, 1.0377943781978949, 0.9111872106718677]"
