gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,89.5,20.6,3.9,39.3,null
002,98.3,39.0,11.8,78.0,null
003,109.0,50.1,21.2,94.1,null
004,114.0,65.4,35.1,139.1,null
005,122.5,78.8,56.3,212.3,null
006,119.7,77.0,78.4,220.5,null
007,118.7,72.7,98.4,200.0,null
008,122.2,76.4,118.7,202.2,null
009,170.9,78.7,140.3,216.4,null
010,138.7,75.0,160.2,198.5,null
011,123.2,76.1,179.2,190.3,null
012,146.0,81.2,200.8,216.1,null
013,184.6,80.1,222.6,217.4,null
014,231.5,118.3,248.3,256.8,null
015,235.6,128.4,276.2,279.3,null
016,350.7,116.4,303.2,270.1,null
017,411.6,180.7,338.4,351.1,null
018,324.8,169.3,368.0,296.6,null
019,387.6,184.8,403.6,355.4,null
020,424.5,180.7,438.5,348.6,null
021,422.3,188.5,476.7,382.6,null
022,327.2,181.5,514.6,378.2,null
023,373.9,176.4,551.5,369.8,null
024,352.0,173.6,586.7,351.1,null
025,336.6,170.6,622.0,352.9,null
026,369.6,177.8,654.9,329.4,null
027,376.7,172.7,692.2,372.7,null
028,417.3,174.1,719.7,275.2,null
029,379.7,175.1,748.0,282.9,null
030,377.0,178.2,776.6,285.5,null
031,379.7,189.5,810.7,340.7,null
032,352.8,177.8,841.6,309.4,null
033,407.6,180.8,872.5,308.4,null
034,300.5,169.0,899.6,271.3,null
035,397.8,162.0,927.4,277.4,null
036,390.2,177.8,956.8,294.1,null
037,375.3,178.6,985.8,290.5,null
038,342.6,177.6,1016.6,307.4,null
039,364.5,176.5,1051.0,344.2,null
040,430.6,191.0,1083.2,321.7,null
041,418.1,188.5,1114.3,310.4,null
042,429.0,179.8,1142.9,286.7,null
043,360.4,171.9,1169.6,266.2,null
044,372.2,175.8,1195.6,260.3,null
045,320.7,158.7,1218.9,232.5,null
046,348.5,189.6,1248.4,295.4,null
047,365.4,181.4,1275.6,271.9,null
048,384.7,176.8,1301.3,257.1,null
049,482.2,181.8,1326.4,250.6,10011110100101000011110011101110100000001011010011001100010011010011001000010100111011001111110100000011101110000011001111011100
050,379.5,164.4,1350.7,243.3,null
051,432.1,174.4,1375.4,246.9,null
052,347.6,175.5,1401.4,259.6,null
053,416.0,175.5,1427.7,262.9,null
054,358.6,180.7,1454.2,265.2,null
055,366.9,184.2,1481.1,268.7,null
056,415.4,177.9,1507.7,265.6,null
057,376.6,190.1,1536.2,285.5,null
058,329.1,173.3,1561.5,252.5,null
059,408.7,185.8,1588.9,274.2,null
060,387.5,173.1,1615.2,263.0,null
061,380.2,169.9,1639.8,245.1,null
062,464.5,187.8,1665.7,259.7,10011110100101000011110011101110100000001011010011001100010011010011001000010100111011001111110100000011101110000011001111011100
063,455.8,180.0,1693.3,276.2,10011110100101000011110011101110100000001011010011001100010011010011001000010100111011001111110100000011101110000011001111011100
064,376.5,168.5,1716.9,235.9,null
065,340.9,182.0,1743.3,263.3,null
066,343.4,172.5,1769.5,262.3,null
067,359.7,171.6,1797.0,274.5,null
068,377.7,178.1,1825.2,281.7,null
069,335.7,174.4,1854.0,288.6,null
070,315.7,163.4,1879.5,254.6,null
071,449.4,181.1,1908.7,292.3,null
072,367.6,168.4,1934.5,257.3,null
073,420.8,196.3,1965.4,309.3,null
074,413.5,174.4,1993.6,281.6,null
075,326.0,171.4,2021.3,276.8,null
076,428.7,175.0,2054.8,335.7,null
077,413.4,190.2,2093.9,390.6,null
078,416.7,179.2,2128.2,342.8,null
079,316.3,172.8,2161.5,333.4,null
080,392.9,189.0,2198.4,369.0,null
081,456.1,170.3,2232.2,337.3,10011110100101000011110011101110100000001011010011001100010011010011001000010100111011001111110100000011101110000011001111011100
082,303.0,170.6,2263.6,313.9,null
083,386.6,179.3,2298.4,348.3,null
084,365.0,171.5,2328.8,303.8,null
085,364.7,188.1,2361.2,323.3,null
086,407.9,187.3,2393.9,327.7,null
087,353.8,169.3,2425.1,311.3,null
088,412.4,176.0,2457.3,321.7,null
089,413.9,177.6,2493.3,359.9,null
090,342.0,170.4,2529.7,363.9,null
091,365.3,185.2,2566.3,366.1,null
092,458.1,174.8,2602.1,358.1,10011110100101000011110011101110100000001011010011001100010011010011001000010100111011001111110100000011101110000011001111011100
093,419.9,196.4,2640.8,386.5,null
094,357.2,170.2,2674.1,332.9,null
095,413.4,180.8,2709.3,352.2,null
096,321.7,184.4,2746.0,366.8,null
097,399.5,184.0,2782.2,362.3,null
098,340.4,169.7,2814.5,322.4,null
099,378.4,174.7,2846.6,320.8,null
100,375.9,175.9,2878.6,319.7,null
101,432.2,195.5,2914.3,357.3,null
102,412.2,186.1,2950.0,357.1,null
103,489.1,194.3,2986.0,359.4,10011110100101000011110011101110100000001011010011001100010011010011001000010100111011001111110100000011101110000011001111011100
104,479.8,186.3,3019.4,334.3,10011110100101000011110011101110100000001011010011001100010011010011001000010100111011001111110100000011101110000011001111011100
105,410.6,177.4,3050.9,314.5,null
106,348.1,183.1,3085.1,341.8,null
107,425.3,189.0,3119.8,346.9,null
108,399.0,178.3,3152.0,322.7,null
109,362.6,176.1,3184.4,323.8,null
110,387.5,179.7,3217.8,333.1,null
111,380.7,184.0,3251.1,333.4,null
112,350.6,180.2,3282.1,309.4,null
113,383.9,171.8,3310.9,288.7,null
114,372.5,183.5,3348.5,376.0,null
115,338.2,174.3,3385.3,367.0,null
116,316.2,171.4,3420.5,352.3,null
117,408.0,179.4,3460.1,396.0,null
118,367.8,178.5,3500.1,399.9,null
119,369.2,183.5,3535.5,353.7,null
