gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,113.2,24.0,1.2,12.1,null
002,132.5,33.6,2.9,17.1,null
003,113.6,37.1,4.9,19.1,null
004,161.3,41.6,7.0,21.2,null
005,172.3,44.5,9.5,24.8,null
006,178.3,44.3,11.8,23.7,null
007,166.2,46.1,14.4,25.4,null
008,173.5,45.3,16.8,24.4,null
009,410.0,49.8,19.5,26.7,null
010,380.8,55.7,22.5,29.6,null
011,335.5,55.9,25.7,30.3,null
012,294.5,60.0,28.9,31.9,null
013,339.8,53.5,31.8,28.5,null
014,224.1,61.8,35.1,33.5,null
015,314.0,62.5,38.5,34.0,null
016,330.0,59.0,41.8,32.6,null
017,341.8,58.5,45.0,31.8,null
018,260.2,66.9,48.8,37.8,null
019,327.9,72.8,53.0,42.0,null
020,286.1,70.6,57.1,41.6,null
021,396.6,76.9,62.0,45.6,null
022,173.3,75.9,66.5,44.7,null
023,260.1,86.7,71.7,52.5,null
024,297.9,94.1,77.6,58.3,null
025,416.5,92.3,83.2,56.5,null
026,267.2,106.9,89.7,65.1,null
027,274.3,100.7,96.0,62.9,null
028,368.0,93.1,101.7,56.7,null
029,286.5,100.4,107.9,61.6,null
030,391.8,98.8,113.9,60.3,null
031,295.4,93.0,120.2,58.9,null
032,247.4,103.1,126.7,65.1,null
033,238.1,97.7,132.8,60.7,null
034,259.1,98.1,138.9,61.6,null
035,268.8,107.3,145.7,68.3,null
036,283.8,92.1,151.5,57.9,null
037,167.7,93.5,157.6,60.7,null
038,305.1,106.6,164.9,72.7,null
039,224.5,99.8,171.5,65.9,null
040,219.2,96.3,177.8,63.3,null
041,199.4,92.1,184.4,60.6,null
042,280.5,104.7,191.3,69.6,null
043,423.3,100.9,198.5,71.4,null
044,258.5,94.3,205.1,65.7,null
045,290.4,98.8,211.8,67.3,null
046,236.2,100.1,219.0,72.2,null
047,228.9,102.1,226.5,74.4,null
048,174.4,94.2,232.8,63.6,null
049,217.5,98.8,239.8,69.7,null
050,203.6,102.5,246.8,70.2,null
051,388.2,109.3,255.0,75.0,null
052,325.7,108.0,262.6,76.7,null
053,315.1,116.5,270.6,79.6,null
054,225.7,113.9,278.6,80.2,null
055,253.4,122.1,286.8,81.8,null
056,230.8,113.4,295.0,82.2,null
057,210.7,109.9,302.7,76.1,null
058,240.2,119.7,311.4,87.0,null
059,283.6,119.6,320.0,85.9,null
060,327.2,122.6,328.8,88.4,null
061,379.1,119.2,338.2,86.5,null
062,426.8,125.0,347.0,88.2,null
063,454.5,133.1,357.0,99.7,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
064,467.5,139.6,367.2,102.3,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
065,399.0,138.3,377.1,99.0,null
066,324.7,122.3,385.4,83.3,null
067,430.0,184.0,397.4,119.1,null
068,451.2,264.2,413.1,157.0,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
069,451.2,237.9,427.5,144.5,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
070,470.7,270.8,443.8,163.0,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
071,454.9,263.9,460.5,157.9,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
072,424.9,248.7,477.0,165.0,null
073,464.0,266.2,493.2,162.6,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
074,471.8,284.0,510.7,174.4,01101000011101000110010111110101100011101111111101000100010001110010111000001111010100000110010110011000010101111110000011100110
075,461.1,249.3,526.1,154.4,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
076,465.2,259.5,541.7,156.1,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
077,445.5,252.9,557.4,156.7,null
078,427.7,243.1,572.7,152.5,null
079,455.2,239.4,587.2,145.4,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
080,371.4,209.8,600.0,127.5,null
081,467.4,240.3,615.2,143.9,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
082,435.1,254.8,631.3,160.9,null
083,439.4,244.4,646.3,149.9,null
084,432.8,260.1,662.5,161.5,null
085,450.6,263.6,678.7,162.3,01101000011101000110010111110101100011101111111101000100010001110010111001001111010101000110010110011000010101111110000011100110
086,444.4,252.2,695.1,163.6,null
087,430.2,242.8,711.3,161.7,null
088,468.2,249.9,726.9,156.1,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
089,469.1,250.9,742.3,154.5,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
090,468.1,265.5,758.5,161.2,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
091,426.6,250.0,775.1,155.9,null
092,445.6,235.3,789.8,147.2,null
093,436.5,256.3,805.9,160.3,null
094,462.3,277.7,822.5,166.1,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
095,458.8,241.5,837.6,151.3,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
096,454.7,230.1,852.2,145.7,01101000011101000110000111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
097,452.2,254.0,868.7,164.6,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
098,435.5,269.6,885.8,171.7,null
099,346.2,205.7,899.4,135.4,null
100,451.9,264.7,916.2,168.0,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
101,438.3,257.8,933.8,164.5,null
102,465.7,268.4,951.2,174.4,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
103,469.2,254.3,967.0,157.4,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
104,466.2,280.6,984.2,171.9,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
105,466.2,254.7,1000.1,159.5,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
106,470.0,260.3,1015.8,156.7,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
107,404.0,236.3,1029.6,138.3,null
108,427.7,258.4,1044.4,147.4,null
109,432.4,257.8,1059.4,150.5,null
110,430.1,253.1,1073.9,144.6,null
111,460.6,268.3,1090.9,159.3,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
112,423.1,251.6,1108.5,175.2,null
113,438.8,271.1,1126.0,175.5,null
114,454.6,262.1,1142.3,163.4,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
115,458.5,258.2,1158.2,158.3,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
116,416.4,259.3,1173.1,148.9,null
117,458.2,244.0,1187.0,139.1,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
118,456.6,262.4,1201.6,145.6,01101000011101000110010111110101100011101111111101000100010001110010111001001111010100000110010110011000010101111110000011100110
