gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,493.6,122.1,0.1,14.1,[1.2176675  1.11800287 1.40731776 1.4027333 ]
002,494.5,223.0,0.2,25.5,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
003,495.1,242.5,0.3,27.8,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
004,497.3,331.4,0.5,33.1,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
005,495.9,244.2,0.7,29.8,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
006,495.3,331.4,0.8,31.4,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
007,497.1,415.3,1.0,38.4,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
008,496.0,494.8,1.3,48.8,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
009,497.5,496.4,1.5,51.0,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
010,496.6,495.4,1.8,50.8,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
011,496.9,495.6,2.0,47.6,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
012,497.1,495.8,2.2,47.8,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
013,498.3,495.9,2.5,45.2,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
014,496.8,496.2,2.7,46.9,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
015,496.6,495.0,2.9,46.5,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
016,497.0,495.2,3.2,48.9,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
017,495.8,494.9,3.4,46.9,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
018,496.1,494.9,3.7,49.1,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
019,496.5,495.4,3.9,49.6,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
020,496.3,495.8,4.2,49.2,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
021,497.3,495.0,4.4,48.6,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
022,496.3,495.6,4.7,49.0,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
023,495.9,495.6,4.9,48.9,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
024,497.0,495.9,5.2,63.5,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
025,496.4,495.6,5.5,57.9,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
026,496.6,495.6,5.8,61.5,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
027,497.0,496.1,6.1,50.7,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
028,496.8,495.4,6.3,50.3,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
029,496.2,495.7,6.6,46.9,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
030,497.7,496.1,6.8,50.8,"[1.2176675034410815, 1.1180028677294898, 1.407317764356371, 1.402733300528026]"
