gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,141.6,23.9,0.7,6.8,null
002,153.8,34.0,1.7,10.0,null
003,134.5,38.4,2.8,11.2,null
004,223.1,39.4,3.9,11.1,null
005,121.1,40.2,5.1,11.4,null
006,226.6,46.9,6.4,13.3,null
007,158.6,42.0,7.7,12.6,null
008,126.6,41.4,8.8,11.1,null
009,189.4,46.3,10.1,13.6,null
010,163.6,51.4,11.6,14.6,null
011,166.0,52.4,13.3,14.9,null
012,281.9,58.7,15.1,18.4,null
013,165.7,55.2,16.9,17.8,null
014,194.5,59.4,18.8,18.7,null
015,218.2,69.7,20.8,20.5,null
016,174.9,76.0,23.1,22.7,null
017,176.5,82.4,25.6,25.1,null
018,186.4,76.8,27.9,22.6,null
019,215.9,82.9,30.3,24.4,null
020,218.2,85.3,32.9,25.8,null
021,184.9,78.4,35.5,23.9,null
022,197.3,77.4,37.9,24.0,null
023,344.6,85.5,40.5,25.5,null
024,187.6,51.3,41.9,14.2,null
025,177.8,76.8,44.2,22.6,null
026,270.6,88.5,46.9,27.0,null
027,203.7,88.1,49.7,28.0,null
028,208.5,88.0,52.5,27.6,null
029,238.2,89.6,55.3,28.7,null
030,352.4,92.4,58.3,29.7,null
031,273.1,101.0,61.8,31.2,null
032,235.7,105.9,65.2,34.2,null
033,244.8,100.0,68.4,32.5,null
034,309.2,111.0,72.1,36.9,null
035,278.7,120.0,76.0,38.7,null
036,357.7,134.1,80.3,42.5,null
037,380.8,155.1,85.3,50.2,null
038,346.2,176.7,91.2,59.1,null
039,317.9,183.5,97.4,61.6,null
040,350.1,203.7,104.2,68.3,null
041,353.8,189.4,111.0,62.9,null
042,385.6,200.3,117.8,68.3,null
043,366.1,197.4,124.6,67.6,null
044,381.7,206.1,131.2,66.4,null
045,378.9,211.3,138.2,69.9,null
046,380.1,217.4,145.5,73.3,null
047,391.0,210.4,152.8,73.2,null
048,464.7,226.1,160.3,74.9,11001100001000111001110110010001100001101111010001100111100011101111011110110111110010010110100110010100110100010100100011110110
048,464.7,226.1,160.3,74.9,null
049,442.8,226.3,168.0,76.1,null
050,462.0,250.1,175.9,79.5,11000000001010111001110110010001100001101111010001100111100011101111001110110111110010110110100110010101110100010100100011110110
050,462.0,250.1,175.9,79.5,null
