gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,74.0,18.5,2.2,22.2,null
002,75.9,24.6,5.2,29.9,null
003,205.2,36.1,9.9,46.9,null
004,221.0,36.6,14.4,44.4,null
005,284.7,39.6,19.2,48.5,null
006,257.6,42.8,24.4,51.9,null
007,203.9,37.5,29.0,44.9,null
008,221.7,45.1,34.4,54.2,null
009,215.0,48.4,40.3,58.5,null
010,251.0,52.7,46.7,64.6,null
011,297.9,53.3,53.7,66.2,null
012,272.5,55.9,60.8,70.6,null
013,305.5,51.7,67.3,64.2,null
014,298.7,62.8,75.6,83.1,null
015,304.3,71.7,85.9,102.9,null
016,296.0,81.8,98.0,121.7,null
017,340.0,156.3,121.3,232.0,null
018,366.2,160.8,142.8,215.0,null
019,348.1,166.1,164.4,216.3,null
020,363.2,162.7,185.5,210.4,null
021,374.0,168.5,207.9,219.1,null
022,327.4,162.9,229.2,212.5,null
023,324.9,162.9,250.8,216.1,null
024,374.3,179.3,274.9,241.2,null
025,315.7,163.2,298.4,234.5,null
026,375.0,170.1,323.6,252.5,null
027,375.4,169.9,348.1,244.4,null
028,459.7,167.7,371.9,238.4,01110101111101000001010101110101010100001111110100000110011010011000010010111101010000111000000010100001011110011111010101110110
029,343.8,167.4,395.4,234.5,null
030,446.6,185.6,422.8,274.4,null
031,472.9,188.5,450.5,270.4,01110101111101000001010101110101010100001111110100000110011010011000010010111101010000111000000010100001011110011111010101110110
032,473.8,218.9,477.6,271.2,01110101111101000001010101110101010100001111110100000110011010011000010010111101010000111000000010100001011110011111010101110110
033,479.2,245.1,507.7,300.7,01110101111101000001010101110101010100001111110100000110011010011000010010111101010000111000000010100001011110011111010101110110
034,480.7,231.8,538.3,305.2,01110101111101000001010101110101010100001111110100000110011010011000010010111101010000111000000010100001011110011111010101110110
035,475.0,238.3,568.1,298.1,01110101111101000001010101110101010100001111110100000110011010011000010010111101010000111000000010100001011110011111010101110110
036,429.5,227.9,597.4,292.7,null
037,473.1,232.1,627.2,298.0,01110101111101000001010101110101010100001111110100000110011010011000010010110101010000111000000010100001011110011111010101110110
038,458.0,220.5,655.8,285.7,01110101111101000001010101110101010100001111110100000110011010011000010010110101010000111000000010100001011110011111010101110110
039,459.1,231.2,686.1,303.5,01110101111101000001010101110101010100001111110100000110011010011000010010110101010000111000000010100001011110011111010101110110
040,453.2,231.0,719.1,330.1,01110101111101000001010101110101010100001111110100000110011010011000010010110101010000111000000010100001011110011111010101110110
041,418.9,226.6,751.0,310.5,null
042,476.3,226.3,780.7,296.4,01110101111101000001010101110101010100001111110100000110011010011000010010110101010000111000000010100001011110011111010101110110
