gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,497.1,93.4,1.7,16.9,[ 1.19688595 -0.84642356  0.53125611  0.7063612 ]
002,495.9,187.1,5.0,32.9,[0.47314641 0.67115428 1.00617593 1.70570733]
003,496.9,330.4,11.1,60.7,"[1.196885954293854, -0.8464235600101064, 0.19312990784351602, 1.5329899682700303]"
004,497.7,393.9,18.1,70.1,"[0.47314640561103805, 0.6711542822885099, 0.2599746296845592, 0.575883118323827]"
005,499.0,423.1,25.7,76.7,"[1.196885954293854, 0.5035860795935683, 0.2599746296845592, 0.575883118323827]"
006,498.9,442.0,33.5,77.4,"[0.47314640561103805, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
007,498.7,437.5,41.1,76.3,"[0.47314640561103805, 0.6711542822885099, 0.2599746296845592, 0.575883118323827]"
008,499.0,447.5,48.8,77.2,"[0.47314640561103805, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
009,499.3,447.0,56.7,78.4,"[0.47314640561103805, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
010,499.3,444.2,64.3,76.7,"[1.8411844100044819, 0.6005224200397637, 0.24317358471538122, 0.5305272755579394]"
011,499.3,448.8,72.2,75.9,"[0.47314640561103805, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
012,499.3,453.3,80.8,85.1,"[1.196885954293854, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
013,499.4,453.1,89.5,87.3,"[1.196885954293854, 0.6711542822885099, 0.24317358471538122, 0.575883118323827]"
014,499.4,444.5,97.8,82.7,"[1.196885954293854, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
015,499.4,455.8,106.2,84.8,"[0.47314640561103805, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
016,499.4,455.3,114.0,77.6,"[0.47314640561103805, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
017,499.4,446.0,121.7,76.6,"[1.8411844100044819, 0.6711542822885099, 0.24317358471538122, 0.575883118323827]"
018,499.4,454.8,129.3,76.0,"[1.196885954293854, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
019,499.4,455.4,137.0,77.1,"[1.196885954293854, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
020,499.4,454.9,144.5,75.1,"[1.196885954293854, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
021,499.5,461.5,152.8,77.7,"[1.196885954293854, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
022,499.4,452.1,160.2,74.7,"[1.196885954293854, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
023,499.4,455.6,167.9,77.0,"[1.196885954293854, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
024,499.4,462.6,175.6,77.0,"[1.196885954293854, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
025,499.4,451.9,183.3,76.4,"[1.196885954293854, 0.6711542822885099, 0.16791411985731486, 0.575883118323827]"
