gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,108.7,24.6,0.7,6.8,null
002,130.6,34.4,1.6,9.6,null
003,122.5,36.6,2.7,10.3,null
004,126.5,37.7,3.8,10.8,null
005,87.8,39.4,4.9,11.0,null
006,263.1,48.5,6.2,13.5,null
007,194.3,49.3,7.6,13.5,null
008,256.2,50.6,9.0,14.4,null
009,216.4,47.0,10.3,13.1,null
010,176.2,48.5,11.7,13.9,null
011,163.9,49.0,13.3,13.2,null
012,305.0,49.7,14.6,13.2,null
013,239.3,53.8,16.1,15.1,null
014,180.9,55.2,17.6,15.2,null
015,154.9,54.3,19.1,15.0,null
016,225.9,59.7,20.9,17.7,null
017,179.7,55.2,22.5,16.0,null
018,246.0,62.4,24.3,17.9,null
019,227.0,60.6,26.0,17.4,null
020,206.9,65.6,27.9,19.1,null
021,222.5,60.7,29.9,17.2,null
022,208.4,64.0,31.8,18.2,null
023,163.5,61.7,33.6,18.1,null
024,210.7,70.2,35.7,20.7,null
025,204.8,76.1,38.0,23.0,null
026,200.5,89.3,40.7,27.5,null
027,210.5,83.8,43.3,25.4,null
028,194.4,90.0,46.1,28.6,null
029,292.4,94.9,49.1,29.5,null
030,192.6,94.1,52.0,29.6,null
031,182.0,98.8,55.5,30.8,null
032,189.6,95.1,58.6,31.0,null
033,230.4,104.1,62.1,35.1,null
034,196.5,102.5,65.6,35.0,null
035,255.5,105.4,69.0,33.9,null
036,286.7,112.6,72.6,35.9,null
037,292.2,116.5,76.3,37.4,null
038,277.4,121.0,80.1,37.8,null
039,263.1,116.6,83.8,36.3,null
040,238.9,111.5,87.3,35.3,null
041,266.7,123.8,91.6,38.9,null
042,326.0,127.9,95.6,40.1,null
043,232.5,130.4,99.8,41.4,null
044,249.6,121.4,103.6,38.4,null
045,292.4,124.3,107.6,40.2,null
046,285.9,130.2,111.9,42.3,null
047,289.9,127.7,116.1,41.9,null
048,250.7,131.0,120.4,43.2,null
049,259.9,125.9,124.5,41.6,null
050,237.6,127.3,128.6,40.5,null
051,251.6,124.4,132.9,38.0,null
052,292.0,131.9,137.1,41.8,null
053,259.7,133.3,141.1,40.2,null
054,250.7,130.6,145.2,41.0,null
055,230.8,127.1,149.1,39.0,null
056,242.1,128.7,153.1,40.1,null
057,245.2,130.9,157.1,39.8,null
058,264.9,124.0,161.0,39.1,null
059,328.2,135.0,165.2,41.9,null
060,264.1,132.5,169.3,40.7,null
061,235.5,130.8,173.9,40.4,null
062,255.7,127.8,177.9,39.9,null
063,254.6,137.8,182.2,42.8,null
064,249.1,134.4,186.3,40.8,null
065,271.7,136.1,190.4,41.5,null
066,262.9,139.9,194.6,41.5,null
067,259.9,138.9,198.9,42.7,null
068,273.7,136.7,203.1,42.2,null
069,296.1,142.4,207.5,43.9,null
070,267.8,136.8,211.7,42.7,null
071,279.4,143.1,216.9,45.3,null
072,275.4,145.4,221.5,45.5,null
073,261.5,147.5,226.0,45.4,null
074,388.5,144.5,230.5,44.1,null
075,357.8,163.4,235.4,49.4,null
076,276.8,138.7,239.7,42.9,null
077,306.7,152.7,244.4,47.1,null
078,366.6,146.5,248.9,45.3,null
079,330.9,157.7,253.8,48.5,null
080,282.0,153.6,258.5,47.5,null
081,262.8,148.8,263.8,45.7,null
082,296.4,151.6,268.7,49.0,null
083,267.7,152.0,273.5,47.3,null
084,330.1,158.9,278.4,49.2,null
085,319.7,158.5,283.3,49.2,null
086,282.7,154.5,288.0,46.5,null
087,343.3,161.3,293.2,52.4,null
088,379.1,163.2,298.2,50.2,null
089,322.6,162.6,303.2,49.5,null
090,316.5,159.8,308.1,49.2,null
091,363.8,169.5,314.3,52.7,null
092,276.7,149.3,319.1,47.6,null
093,268.0,152.9,323.7,46.3,null
094,286.3,152.8,328.4,47.2,null
095,296.7,156.6,333.2,47.6,null
096,383.6,167.4,338.2,50.2,null
097,306.9,158.4,343.0,47.1,null
098,283.1,151.5,347.6,46.7,null
099,363.8,171.0,352.9,52.7,null
100,291.9,155.5,357.6,46.6,null
