gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,116.1,20.4,3.7,36.6,null
002,290.6,30.4,9.1,54.5,null
003,244.8,34.6,16.1,69.6,null
004,201.4,49.2,25.8,96.6,null
005,327.5,57.4,37.9,121.6,null
006,267.5,56.8,50.2,122.9,null
007,316.5,67.9,64.1,138.9,null
008,295.9,74.4,79.0,148.7,null
009,338.7,103.7,99.6,205.6,null
010,379.9,186.5,135.2,355.8,null
011,444.4,214.9,185.4,502.4,null
012,468.1,215.0,233.5,480.6,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001100001111011010
013,392.8,210.6,268.8,352.8,null
014,385.5,208.8,304.4,355.8,null
015,414.5,210.8,346.7,423.3,null
016,445.5,229.7,393.1,463.8,null
017,429.8,233.2,441.2,480.7,null
018,396.5,223.3,486.9,457.2,null
019,457.0,203.5,526.6,396.7,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001100001111011010
020,415.4,217.9,563.6,370.3,null
021,419.7,206.5,597.3,337.3,null
022,426.8,226.7,635.6,382.8,null
023,428.9,212.2,676.6,409.3,null
024,422.7,212.0,721.5,449.4,null
025,417.7,215.8,765.1,436.1,null
026,393.2,218.3,808.4,432.2,null
027,452.5,234.9,852.8,444.2,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001100001111011010
028,457.7,228.0,895.9,431.5,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001100001111011010
029,410.4,222.2,940.2,442.1,null
030,459.9,225.1,982.3,421.2,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
031,467.5,234.0,1029.9,475.5,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
032,407.2,238.9,1081.8,519.0,null
033,480.8,265.0,1139.3,575.6,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
034,465.9,281.4,1199.7,603.5,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
035,446.2,252.6,1256.0,563.3,null
036,455.4,286.6,1324.5,684.3,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
037,441.1,273.4,1389.8,652.9,null
038,456.7,272.4,1444.8,550.2,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
039,409.5,268.4,1506.9,620.9,null
040,424.1,274.1,1570.9,639.5,null
041,429.3,274.9,1631.2,602.7,null
042,468.5,281.1,1698.7,675.1,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
043,478.3,266.4,1760.2,615.4,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
044,416.6,263.9,1819.1,588.9,null
045,479.4,278.2,1882.5,633.6,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
046,462.4,266.5,1946.0,635.1,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
047,406.9,255.8,2011.1,650.4,null
048,478.4,291.9,2084.6,735.6,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
049,480.5,282.4,2154.9,702.1,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
050,472.3,285.8,2227.4,725.2,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
051,417.5,271.6,2301.1,736.6,null
052,461.9,255.4,2367.1,660.0,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
053,482.9,291.1,2440.7,736.3,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
054,399.9,254.7,2503.1,623.9,null
055,479.7,289.8,2572.6,694.6,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
056,485.9,276.2,2638.5,659.1,11100110011011000010101101100001110011010111001010011000000101111011101100001000010010010100011111100111110001001101001111011010
057,467.9,272.5,2700.6,621.0,11100110011011000010101101100001110011010111001010001000000101111011001100001000010010010100011111100101110001001101001111011010
058,480.4,303.4,2773.0,723.3,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
059,472.5,355.5,2857.1,840.7,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
060,480.6,401.6,2948.9,917.9,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
061,470.5,373.5,3023.1,741.8,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
062,484.4,417.0,3100.1,769.6,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
063,438.4,328.0,3165.5,653.7,null
064,486.9,400.7,3242.2,767.1,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
065,486.4,344.3,3317.3,750.7,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
066,483.8,419.9,3407.0,897.0,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
067,485.8,402.0,3495.3,882.7,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
068,484.8,418.5,3587.8,925.1,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
069,472.2,336.1,3657.3,695.4,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
070,483.5,402.6,3737.3,799.6,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
071,484.7,427.2,3819.6,823.1,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
072,473.3,379.2,3895.6,759.9,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
073,479.0,385.3,3971.3,756.4,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
074,492.6,437.0,4054.5,832.2,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
075,480.4,395.1,4134.3,798.2,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
076,482.9,397.6,4213.1,787.4,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
077,494.0,431.4,4298.6,854.6,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
078,497.6,427.0,4385.4,868.1,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
079,496.7,444.6,4472.1,867.2,11100110011011000010101101100001110011010111001010001000000101111011101100001000010010010100011111100101110001001101001111011010
