gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,40.5,18.1,0.0,2.2,null
002,41.1,23.6,0.0,2.4,null
003,41.2,27.3,0.0,3.3,null
004,36.1,26.7,0.1,2.4,null
005,39.8,36.9,0.1,4.3,null
006,40.7,34.1,0.1,3.5,null
007,43.9,42.0,0.1,4.6,null
008,41.4,37.8,0.1,3.6,null
009,43.0,40.1,0.2,3.7,null
010,40.0,36.7,0.2,4.9,null
011,45.4,38.0,0.2,5.2,null
012,41.8,38.2,0.2,3.7,null
013,42.4,37.4,0.2,3.6,null
014,44.5,36.7,0.3,4.1,null
015,39.0,35.8,0.3,3.8,null
016,42.4,37.5,0.3,3.8,null
017,41.3,35.8,0.3,4.0,null
018,35.9,32.8,0.4,3.3,null
019,37.6,36.1,0.4,3.5,null
020,48.0,41.6,0.4,4.3,null
021,43.6,35.2,0.4,3.4,null
022,39.5,37.1,0.5,7.9,null
023,41.1,36.8,0.5,6.1,null
024,42.9,38.3,0.5,5.8,null
025,42.2,38.5,0.5,6.0,null
026,41.3,37.3,0.6,5.2,null
027,39.6,36.3,0.6,4.1,null
028,39.4,37.2,0.6,4.0,null
029,40.0,38.3,0.6,5.6,null
030,37.5,36.5,0.7,4.6,null
031,44.9,40.6,0.7,4.4,null
032,45.8,34.4,0.7,5.5,null
033,41.8,37.6,0.7,4.2,null
034,43.1,39.9,0.8,4.7,null
035,40.0,35.9,0.8,3.8,null
036,38.5,35.0,0.8,3.7,null
037,41.6,37.3,0.8,4.3,null
038,42.3,35.4,0.9,4.4,null
039,36.7,34.4,0.9,4.3,null
040,37.3,35.4,0.9,4.7,null
041,43.4,38.4,0.9,3.9,null
042,39.6,33.3,0.9,3.6,null
043,41.2,39.0,1.0,4.4,null
044,41.6,38.6,1.0,4.7,null
045,42.2,37.2,1.0,4.8,null
046,40.8,35.6,1.0,4.7,null
047,46.4,39.6,1.1,6.1,null
048,41.2,35.3,1.1,4.6,null
049,40.8,35.8,1.1,4.2,null
050,44.0,38.2,1.1,5.0,null
