gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,485.1,78.2,0.2,11.5,[0.54834322 0.00749892 2.97273486 1.55341965]
002,486.0,147.7,0.7,25.6,[0.54834322 0.00749892 2.97273486 1.55341965]
003,492.5,233.6,1.5,38.7,"[0.5483432189791261, -0.17538457087656797, 2.972734858238278, 1.5534196518388925]"
004,489.9,249.6,2.3,37.7,[0.54834322 0.00749892 2.97273486 1.55341965]
005,488.5,339.7,3.3,49.0,"[0.5483432189791261, 0.007498919510676157, 2.972734858238278, 1.5534196518388925]"
006,491.2,356.3,4.3,51.2,"[0.5483432189791261, -0.17538457087656797, 2.972734858238278, 1.5534196518388925]"
007,492.1,395.4,5.5,59.3,"[0.5483432189791261, -0.17538457087656797, 2.972734858238278, 1.5534196518388925]"
008,489.9,348.4,6.5,50.6,"[0.5483432189791261, 0.007498919510676157, 2.972734858238278, 1.5534196518388925]"
009,493.2,348.1,7.5,48.5,"[0.5483432189791261, -0.17538457087656797, 2.972734858238278, 1.5534196518388925]"
010,492.6,351.7,8.4,48.7,"[0.5483432189791261, 0.007498919510676157, 2.972734858238278, 1.5534196518388925]"
011,492.8,365.6,9.7,52.6,"[0.5483432189791261, 0.007498919510676157, 2.972734858238278, 1.5534196518388925]"
012,489.4,318.5,10.6,43.6,"[0.5483432189791261, -0.17538457087656797, 2.972734858238278, 1.5534196518388925]"
013,490.7,301.2,11.4,40.7,"[0.5483432189791261, 0.007498919510676157, 2.972734858238278, 1.5534196518388925]"
014,490.5,347.9,12.4,47.2,"[0.5483432189791261, -0.17538457087656797, 2.972734858238278, 1.5534196518388925]"
015,492.9,332.2,13.3,45.2,"[0.5483432189791261, 0.007498919510676157, 2.972734858238278, 1.5534196518388925]"
016,489.2,358.2,14.3,49.0,"[0.5483432189791261, -0.17538457087656797, 2.972734858238278, 1.5534196518388925]"
017,489.7,336.4,15.2,46.9,"[0.5483432189791261, -0.17538457087656797, 2.972734858238278, 1.5534196518388925]"
018,492.4,370.2,16.2,51.4,[0.9349207  0.43123374 0.47357892 1.43359504]
019,495.6,368.6,17.3,53.5,"[0.9349207049111516, 0.43123374376934187, 0.4735789208142564, 1.4335950359403076]"
020,496.0,345.9,18.3,50.0,"[0.9349207049111516, 0.43123374376934187, 0.4735789208142564, 1.4335950359403076]"
021,497.4,347.1,19.6,48.0,"[0.9349207049111516, 0.43123374376934187, 0.4735789208142564, 1.4335950359403076]"
022,497.0,343.9,20.5,47.7,"[0.9349207049111516, 0.43123374376934187, 0.4735789208142564, 1.4335950359403076]"
023,497.1,358.5,21.5,49.0,"[0.9349207049111516, 0.43123374376934187, 0.4735789208142564, 1.4335950359403076]"
024,496.7,397.8,22.6,56.2,"[0.9349207049111516, 0.43123374376934187, 0.4735789208142564, 1.4335950359403076]"
025,497.4,352.9,23.7,51.4,"[0.9349207049111516, 0.43123374376934187, 0.4735789208142564, 1.4335950359403076]"
026,496.8,361.3,24.7,53.3,"[0.9349207049111516, 0.43123374376934187, 0.4735789208142564, 1.4335950359403076]"
027,498.1,420.9,25.9,57.8,"[0.9349207049111516, 0.43123374376934187, 0.4735789208142564, 1.4335950359403076]"
028,497.0,344.5,26.8,48.2,"[0.9349207049111516, 0.43123374376934187, 0.4735789208142564, 1.4335950359403076]"
029,497.5,351.6,27.8,47.6,"[0.9349207049111516, 0.467113656377047, 0.4735789208142564, 1.168784084945695]"
030,496.8,409.4,28.9,56.9,"[0.9349207049111516, 0.467113656377047, 0.6939374403670372, 1.168784084945695]"
031,497.0,352.7,30.3,47.6,"[0.6999794578432288, 0.467113656377047, 0.6939374403670372, 1.168784084945695]"
032,497.8,386.8,31.3,52.8,"[0.6999794578432288, 0.467113656377047, 0.6939374403670372, 1.168784084945695]"
033,497.7,352.1,32.3,47.4,"[0.9349207049111516, 0.43123374376934187, 0.6939374403670372, 1.168784084945695]"
034,497.9,377.7,33.3,51.8,"[0.9349207049111516, 0.467113656377047, 0.6939374403670372, 1.168784084945695]"
035,497.4,301.6,34.1,41.7,"[0.9349207049111516, 0.43123374376934187, 0.6939374403670372, 1.168784084945695]"
036,497.7,378.2,35.2,52.9,"[0.9349207049111516, 0.43123374376934187, 0.6939374403670372, 1.168784084945695]"
037,497.8,374.6,36.2,51.7,"[0.9349207049111516, 0.43123374376934187, 0.6939374403670372, 1.168784084945695]"
038,498.1,412.6,37.4,57.1,"[0.9349207049111516, 0.43123374376934187, 0.6939374403670372, 1.168784084945695]"
039,497.9,387.0,38.5,54.5,"[0.9349207049111516, 0.43123374376934187, 0.6939374403670372, 1.168784084945695]"
