gen,maxR,avgR,dT,aT(ms),best_genome_over_450
040,497.8,362.2,39.5,49.2,"[0.9349207049111516, 0.467113656377047, 0.6939374403670372, 1.168784084945695]"
041,497.9,353.3,40.9,48.2,"[0.9349207049111516, 0.467113656377047, 0.6939374403670372, 1.168784084945695]"
042,498.0,329.5,41.8,46.6,"[0.9349207049111516, 0.467113656377047, 0.6939374403670372, 1.168784084945695]"
043,498.0,366.3,42.8,50.5,"[0.9349207049111516, 0.467113656377047, 0.6939374403670372, 1.168784084945695]"
044,497.9,368.4,43.9,51.8,"[0.9349207049111516, 0.467113656377047, 0.6939374403670372, 1.168784084945695]"
045,497.9,360.4,44.9,49.0,"[0.9349207049111516, 0.467113656377047, 0.6939374403670372, 1.168784084945695]"
046,497.9,331.8,45.8,45.8,"[0.9349207049111516, 0.467113656377047, 0.6939374403670372, 1.168784084945695]"
047,498.5,387.7,46.9,53.5,"[0.9349207049111516, 0.467113656377047, 0.6939374403670372, 1.168784084945695]"
048,498.6,354.3,47.9,51.0,"[0.9349207049111516, 0.467113656377047, 0.6939374403670372, 1.168784084945695]"
049,498.4,327.4,48.8,44.8,"[0.9349207049111516, 0.467113656377047, 0.6939374403670372, 1.168784084945695]"
050,497.7,302.9,49.6,40.5,"[0.9349207049111516, 1.025434427472876, 0.6939374403670372, 1.168784084945695]"
