gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,95.4,19.3,4.0,39.7,null
002,107.2,23.8,8.6,45.8,null
003,79.7,27.8,13.9,53.2,null
004,105.1,34.2,20.5,65.5,null
005,94.3,31.1,26.9,64.4,null
006,112.7,32.1,33.6,66.9,null
007,122.4,33.4,40.4,68.4,null
008,143.8,37.0,48.1,76.4,null
009,254.5,40.4,56.4,83.4,null
010,198.7,41.1,65.0,85.4,null
011,161.3,44.5,74.5,92.7,null
012,115.5,42.4,83.4,88.6,null
013,221.0,46.9,93.0,95.6,null
014,175.6,46.8,102.8,98.5,null
015,163.0,44.8,112.2,94.0,null
016,263.4,48.0,122.3,100.6,null
017,158.2,42.9,131.3,89.4,null
018,146.6,41.6,140.0,87.3,null
019,212.2,45.9,149.6,95.9,null
020,302.9,46.6,159.3,97.4,null
021,183.8,48.0,169.9,102.6,null
022,374.9,52.1,181.1,111.9,null
023,272.3,53.0,192.8,116.7,null
024,257.0,53.5,204.1,113.1,null
025,331.2,47.3,214.0,98.9,null
026,387.0,57.6,226.9,128.8,null
027,295.8,50.8,238.4,115.1,null
028,328.4,48.4,249.1,106.4,null
029,334.2,55.0,261.3,121.7,null
030,239.9,54.1,273.0,117.8,null
031,161.7,49.3,284.3,108.0,null
032,398.5,66.2,299.0,146.9,null
033,361.5,62.7,313.6,145.8,null
034,352.9,64.2,327.4,137.9,null
035,382.2,66.6,341.9,145.3,null
036,445.8,76.7,359.0,170.1,null
037,390.6,72.7,374.7,156.9,null
038,241.6,73.9,391.5,168.3,null
039,249.0,79.6,409.0,174.5,null
040,347.1,109.1,433.4,244.2,null
041,410.2,120.5,460.3,263.9,null
042,254.0,123.6,487.0,266.3,null
043,481.8,116.7,512.0,249.9,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
044,242.1,116.4,538.2,262.8,null
045,489.8,124.9,566.2,279.1,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
046,391.8,130.6,595.2,290.2,null
047,323.1,139.6,627.9,327.4,null
048,490.2,123.3,654.3,263.9,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
049,376.6,130.1,682.3,279.9,null
050,431.0,139.0,712.2,299.0,null
051,388.7,150.8,747.2,343.5,null
052,368.7,150.5,781.6,343.4,null
053,354.5,171.1,817.9,363.5,null
054,351.1,164.1,852.5,345.5,null
055,489.1,137.3,881.6,290.7,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
056,403.2,162.0,916.5,349.3,null
057,298.2,156.6,950.0,334.5,null
058,378.6,163.4,984.6,346.7,null
059,431.6,167.2,1020.0,353.5,null
060,375.7,174.0,1056.7,367.1,null
061,370.2,170.5,1093.1,356.5,null
062,481.5,176.5,1130.3,372.4,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
063,381.6,165.8,1166.4,360.4,null
064,398.9,166.8,1201.8,354.0,null
065,488.4,167.2,1237.3,355.5,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
066,352.5,166.1,1272.1,347.4,null
067,409.8,172.2,1309.0,368.7,null
068,382.2,173.7,1346.1,371.4,null
069,411.4,154.2,1379.6,334.8,null
070,392.1,164.5,1415.3,356.9,null
071,348.9,162.7,1449.9,337.3,null
072,404.4,172.0,1485.4,354.5,null
073,372.7,175.9,1523.8,384.8,null
074,359.2,175.1,1560.1,362.1,null
075,420.6,162.5,1593.3,331.8,null
076,350.2,177.4,1629.3,360.6,null
077,352.2,161.8,1663.0,336.5,null
078,492.8,177.5,1700.6,376.2,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
079,493.0,174.2,1737.8,371.8,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
080,372.1,175.3,1776.0,381.6,null
081,401.3,158.0,1810.6,337.2,null
082,395.2,176.3,1848.3,376.2,null
083,306.0,158.4,1882.7,344.1,null
084,492.1,165.3,1920.3,375.9,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
085,313.8,165.7,1958.1,378.1,null
086,340.3,162.3,1994.7,365.6,null
087,489.3,182.9,2035.1,404.3,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
088,461.6,159.7,2070.5,354.2,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
089,361.5,169.3,2112.0,414.3,null
090,453.1,167.7,2148.1,361.8,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
091,494.0,162.7,2183.1,338.5,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
092,382.8,159.4,2217.2,340.6,null
093,488.4,172.9,2253.8,366.7,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
094,490.7,151.4,2285.7,318.8,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
095,394.5,175.7,2325.0,392.6,null
096,361.8,173.7,2362.4,374.2,null
097,473.1,208.3,2407.2,447.4,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
098,458.1,206.2,2452.7,455.4,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
099,490.9,295.4,2516.8,641.0,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
100,445.0,286.7,2579.3,624.1,null
101,495.5,386.5,2663.7,833.5,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
102,420.8,292.1,2730.0,662.6,null
103,490.4,371.6,2810.9,809.0,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
104,483.9,315.2,2880.2,692.9,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
105,459.3,279.7,2941.2,609.6,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
106,455.7,309.6,3008.5,673.2,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
107,493.3,396.7,3092.5,840.1,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
108,435.3,289.3,3155.6,630.9,null
109,490.9,354.8,3233.9,782.5,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
110,468.0,296.4,3300.9,670.1,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
111,459.8,309.9,3375.7,732.8,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
112,493.6,359.8,3453.0,773.4,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
113,430.5,278.6,3515.6,626.0,null
114,423.1,294.5,3581.5,658.5,null
115,469.8,305.0,3648.0,665.4,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
116,456.1,295.0,3709.3,612.8,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
117,435.1,290.6,3770.1,607.2,null
118,410.1,283.9,3828.9,588.4,null
119,428.2,286.7,3887.7,587.9,null
120,496.3,401.2,3967.0,792.6,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
121,457.5,277.4,4023.4,552.9,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
122,453.8,287.2,4079.8,563.8,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
123,484.1,310.9,4141.2,613.6,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
124,465.6,307.1,4201.5,603.5,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
125,492.7,399.9,4278.7,771.5,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
126,475.1,289.7,4334.5,557.8,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
127,491.6,347.1,4401.0,665.6,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
128,468.1,287.5,4459.4,584.1,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
129,492.7,383.4,4534.8,754.1,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
130,420.1,252.1,4585.1,502.9,null
131,495.0,371.9,4657.4,709.1,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
132,450.2,292.4,4714.5,571.2,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
133,486.7,317.0,4776.8,623.1,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
134,417.3,289.5,4832.3,554.9,null
135,490.2,359.7,4901.6,693.2,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
136,493.3,357.8,4970.7,690.4,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
137,494.6,382.2,5073.9,1032.1,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
138,431.1,282.2,5141.1,672.1,null
139,449.3,297.6,5202.6,614.4,null
140,492.3,385.4,5275.8,732.2,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
141,495.8,384.4,5348.3,711.1,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
142,405.8,261.1,5399.4,510.8,null
143,495.8,398.2,5475.6,761.6,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
144,485.2,322.8,5539.6,639.9,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
145,497.1,412.4,5618.6,789.9,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
146,479.7,306.5,5678.9,603.3,11011110100000111110001111001100000011111101010100010111001111100101011101101110010101001001011011000010111110000111111101011010
