gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,416.9,196.7,0.1,28.6,null
002,407.4,219.7,0.3,33.2,null
003,406.5,229.9,0.5,31.2,null
004,384.6,260.7,0.7,39.0,null
005,408.1,353.9,0.9,45.4,null
006,388.9,337.3,1.1,41.1,null
007,444.0,376.3,1.3,43.4,null
008,461.3,389.1,1.5,44.9,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
009,440.9,390.3,1.8,45.6,null
010,464.0,443.0,2.0,46.2,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
011,469.7,434.1,2.3,55.1,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
012,470.9,428.1,2.5,45.7,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
013,422.0,400.9,2.8,49.0,null
014,469.4,436.6,3.0,47.9,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
015,450.2,438.6,3.2,46.8,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
016,473.8,418.8,3.5,46.6,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
017,473.2,435.1,3.7,45.6,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
018,466.5,419.7,3.9,45.8,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
019,488.6,442.0,4.1,43.3,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
020,469.7,422.5,4.4,40.6,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
021,466.1,435.1,4.6,41.3,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
022,468.3,426.2,4.8,44.4,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
023,487.9,431.5,5.0,42.7,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
024,467.8,446.5,5.2,48.1,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
025,475.4,440.8,5.5,51.7,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
026,446.1,434.4,5.7,46.5,null
027,466.9,416.6,6.0,44.1,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
028,447.3,425.1,6.2,41.2,null
029,463.0,418.3,6.4,43.3,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
030,492.5,452.5,6.6,42.7,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
031,470.4,428.8,6.8,43.4,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
032,479.1,428.0,7.0,40.9,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
033,458.4,423.5,7.2,44.1,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
034,465.1,425.7,7.4,41.0,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
035,461.3,428.4,7.7,41.8,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
036,457.6,432.3,7.9,41.6,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
037,438.3,419.3,8.1,43.1,null
038,460.1,408.7,8.3,47.3,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
039,436.1,410.0,8.5,44.0,null
040,467.6,441.8,8.8,43.2,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
041,480.4,441.3,9.0,41.3,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
042,473.5,465.3,9.2,42.1,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
043,460.3,420.4,9.4,40.6,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
044,456.0,425.3,9.6,41.4,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
045,440.1,427.2,9.8,41.8,null
046,475.9,431.7,10.0,41.8,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
047,443.1,436.2,10.2,43.8,null
048,466.7,435.7,10.4,42.2,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
049,457.6,418.1,10.6,41.8,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
050,479.0,420.7,10.9,42.4,"[-0.08670566597347745, -0.39056029130202613, 1.5053651571066564, 0.4845303777514003]"
