gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,307.0,71.7,0.0,7.9,null
002,450.1,166.3,0.1,18.7,"[-0.11924883398716372, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
003,431.7,156.9,0.2,18.8,null
004,471.8,326.3,0.4,39.9,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 0.09774765528957308]"
005,483.6,362.8,0.6,39.0,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 0.09774765528957308]"
006,493.0,389.2,0.8,41.9,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
007,493.2,479.5,1.1,47.1,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
008,495.9,480.6,1.3,50.0,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
009,492.7,484.6,1.6,49.2,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
010,485.7,477.4,1.8,50.4,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 0.09774765528957308]"
011,491.4,480.8,2.1,48.0,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
012,492.7,482.4,2.3,49.2,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
013,493.7,491.5,2.6,50.1,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
014,491.6,487.2,2.9,56.5,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
015,494.8,492.6,3.1,52.0,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
016,494.6,492.6,3.4,49.6,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
017,493.6,470.0,3.6,46.3,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
018,495.4,483.7,3.9,50.4,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
019,493.7,487.0,4.1,47.5,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
020,496.5,485.2,4.3,45.8,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
021,494.6,478.3,4.6,46.7,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
022,494.4,486.6,4.8,49.6,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
023,494.8,489.7,5.0,47.9,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
024,496.1,494.4,5.3,50.4,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
025,492.5,478.3,5.5,48.9,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
026,493.7,477.7,5.8,49.0,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
027,494.4,484.6,6.1,52.0,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
028,493.2,473.1,6.3,50.4,"[0.710581974247208, -0.5629122080049362, 0.7953386425271016, 1.3500294816744927]"
