gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,488.8,149.9,0.1,11.1,[0.93554409 0.00769072 0.54087796 0.55818874]
002,491.7,223.2,0.1,17.2,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
003,491.4,312.8,0.3,24.9,"[1.2940020073070166, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
004,492.4,374.6,0.4,35.0,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
005,495.5,396.7,0.6,33.9,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
006,497.2,391.0,0.8,35.4,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
007,496.0,418.0,1.0,36.2,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
008,496.1,450.5,1.2,38.6,"[1.2940020073070166, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
009,493.7,490.9,1.4,47.6,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
010,497.1,494.5,1.6,45.7,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
011,497.3,493.0,1.9,44.4,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
012,498.2,493.4,2.1,45.4,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
013,495.8,492.5,2.3,46.0,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
014,495.2,492.5,2.6,44.4,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
015,497.3,493.7,2.8,50.7,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
016,495.1,493.7,3.0,45.6,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
017,496.5,494.5,3.3,47.1,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
018,496.6,494.2,3.5,46.2,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
019,496.7,494.6,3.8,49.5,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
020,494.7,492.5,4.0,49.4,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
021,492.6,491.6,4.2,43.7,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
022,496.4,491.8,4.4,41.9,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
023,497.0,492.9,4.6,41.4,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
024,497.5,495.1,4.9,47.0,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
025,493.5,491.4,5.1,45.2,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
026,493.5,491.2,5.3,47.4,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
027,497.0,493.6,5.6,45.3,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
028,495.8,493.3,5.8,48.5,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
029,495.5,493.2,6.0,44.8,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
030,497.4,493.2,6.3,47.4,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
031,496.3,493.0,6.5,44.6,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
032,495.1,493.1,6.7,48.4,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
033,497.2,492.8,7.0,47.1,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
034,495.7,492.5,7.2,46.2,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
035,495.5,493.8,7.4,44.6,"[0.9355440862040528, 0.007690724120144322, 0.5408779590260095, 0.5581887411824595]"
