gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,108.3,39.0,0.5,49.3,null
002,88.3,42.9,1.0,51.6,null
003,116.2,41.5,1.5,50.7,null
004,96.4,46.8,2.1,57.9,null
005,77.9,43.2,2.6,53.2,null
006,80.8,48.6,3.2,60.3,null
007,87.6,27.8,3.6,34.6,null
008,61.2,22.6,3.9,27.6,null
009,86.3,47.4,4.4,57.8,null
010,65.6,47.4,5.0,57.6,null
011,57.3,42.5,5.6,52.8,null
012,100.8,58.9,6.3,73.2,null
013,71.1,36.1,6.7,44.8,null
014,55.0,19.9,7.0,24.3,null
015,91.7,31.8,7.4,39.2,null
016,82.5,46.8,8.0,57.0,null
017,72.4,39.0,8.4,48.0,null
018,122.4,64.4,9.2,79.0,null
019,97.3,52.1,9.9,65.9,null
020,121.0,56.0,10.6,69.2,null
