gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,127.0,22.4,4.2,41.8,null
002,116.9,25.2,9.0,47.7,null
003,95.6,26.9,13.5,44.9,null
004,93.8,33.0,19.1,55.7,null
005,117.3,33.5,24.6,55.0,null
006,136.1,36.3,30.7,61.3,null
007,178.7,40.6,38.2,74.7,null
008,140.7,44.1,45.3,70.8,null
009,147.0,45.0,52.5,72.7,null
010,128.7,45.1,60.6,80.5,null
011,152.0,51.6,70.5,99.1,null
012,138.7,63.9,83.9,133.3,null
013,140.2,63.1,97.9,140.0,null
014,141.7,61.2,111.4,135.6,null
015,136.1,64.0,125.7,142.4,null
016,136.6,65.5,139.0,133.1,null
017,133.9,67.2,154.5,154.7,null
018,139.2,68.4,168.7,142.2,null
019,171.1,67.0,181.1,124.4,null
020,159.5,69.2,196.5,153.2,null
021,151.3,68.7,213.5,170.3,null
022,186.0,71.7,231.8,182.8,null
023,159.8,70.5,249.6,178.1,null
024,181.6,81.8,271.6,219.3,null
025,174.3,106.6,295.7,241.2,null
026,153.7,105.3,314.9,191.8,null
027,149.6,108.9,335.1,202.6,null
028,177.7,103.5,354.2,190.1,null
029,182.0,117.6,377.3,231.7,null
030,176.6,105.8,401.3,239.2,null
031,182.2,111.2,427.3,260.1,null
032,183.3,119.8,452.1,248.1,null
033,192.1,105.2,475.7,236.1,null
034,198.8,110.1,500.7,249.3,null
035,205.0,116.1,525.8,251.1,null
036,208.1,135.2,557.5,317.6,null
037,192.6,135.5,587.4,298.8,null
038,205.1,138.5,614.0,265.4,null
039,223.6,136.6,640.0,259.8,null
040,200.5,135.7,665.7,257.1,null
041,200.9,135.9,690.5,247.9,null
042,206.5,137.3,718.5,280.1,null
043,180.6,136.8,751.1,326.2,null
044,202.9,136.6,784.2,330.2,null
045,187.9,134.3,815.1,309.7,null
046,204.1,137.5,844.8,296.2,null
047,198.8,136.7,876.5,316.9,null
048,190.8,131.4,904.2,276.8,null
049,197.0,137.5,932.7,285.1,null
050,188.7,138.0,962.5,298.0,null
051,202.9,139.1,994.0,314.9,null
052,198.7,139.8,1023.5,294.7,null
053,200.0,137.5,1053.1,296.6,null
054,204.5,136.2,1084.4,312.9,null
055,201.7,139.3,1118.0,335.8,null
056,218.3,135.9,1151.9,339.1,null
057,186.0,134.5,1187.1,351.3,null
058,202.9,141.5,1220.8,337.4,null
059,197.4,139.0,1253.9,330.4,null
060,190.4,135.1,1287.9,340.2,null
061,202.7,135.2,1321.5,336.5,null
062,192.9,134.9,1357.8,362.2,null
063,210.1,134.9,1395.3,375.3,null
064,204.2,140.2,1434.1,388.0,null
065,203.2,138.6,1466.8,326.6,null
066,212.6,138.7,1498.4,316.3,null
067,195.5,135.0,1533.0,346.2,null
068,201.2,135.8,1568.8,357.5,null
069,199.3,137.4,1605.6,368.3,null
070,206.5,135.4,1639.9,342.4,null
071,191.5,136.6,1672.6,327.5,null
072,200.6,135.6,1708.3,356.6,null
073,207.8,142.4,1746.7,384.1,null
074,197.2,137.6,1783.7,369.3,null
075,208.3,132.2,1818.1,343.9,null
076,215.2,135.6,1851.9,338.0,null
077,213.9,141.1,1888.2,363.4,null
078,193.8,131.2,1920.9,326.9,null
079,190.0,138.6,1958.3,373.3,null
080,202.3,137.2,1994.3,360.0,null
081,202.9,132.1,2030.9,366.7,null
082,203.8,137.7,2072.1,411.9,null
083,204.6,137.1,2110.4,382.1,null
084,206.8,138.6,2150.8,404.4,null
085,202.2,138.3,2190.1,392.7,null
086,207.0,135.1,2228.2,381.4,null
087,209.7,139.2,2267.5,392.7,null
088,199.4,136.6,2310.8,432.3,null
089,232.1,140.8,2351.2,403.9,null
090,199.1,137.4,2393.6,424.5,null
091,195.2,138.2,2432.4,387.8,null
092,339.4,143.5,2473.1,406.8,null
093,473.9,138.0,2513.3,401.3,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
094,490.0,154.1,2555.2,419.7,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
095,417.9,153.0,2593.8,385.2,null
096,477.1,168.7,2640.5,467.3,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
097,486.6,198.4,2690.5,500.1,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
098,463.4,204.9,2739.3,487.9,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
099,489.8,244.6,2795.5,562.1,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
100,482.4,324.9,2875.1,795.6,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
101,491.2,363.3,2952.5,774.1,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
102,480.2,347.4,3031.6,790.6,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
103,493.3,412.0,3105.6,739.7,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
104,485.9,367.2,3173.3,677.4,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
105,468.6,329.3,3235.7,624.0,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
106,471.9,342.0,3300.2,644.8,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
107,492.0,398.1,3381.8,815.3,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
108,483.1,351.8,3455.8,740.3,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
109,493.7,395.4,3540.4,846.2,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
110,483.9,366.1,3622.0,815.2,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
111,480.9,345.9,3694.0,720.1,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
112,491.1,363.1,3764.7,707.1,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
113,471.6,347.5,3832.2,674.7,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
114,466.6,344.7,3898.8,665.7,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
115,487.1,381.3,3971.8,730.2,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
116,480.6,350.6,4039.3,675.5,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
117,462.5,342.2,4104.9,655.0,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
118,447.4,335.0,4170.2,653.1,null
119,474.3,350.9,4239.4,692.2,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
120,495.3,390.3,4316.0,766.3,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
121,474.8,336.8,4385.7,697.0,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
122,475.9,341.1,4457.4,716.7,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
123,489.7,387.0,4533.9,764.6,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
124,479.2,363.3,4610.9,770.1,01000011000111111110110111011101100111011110110110001101000101001111001000111100010000001000111001101000001000110111001011011001
