gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,133.0,31.6,3.4,34.1,null
002,139.3,34.8,7.2,38.0,null
003,190.7,38.0,11.4,41.5,null
004,252.3,40.3,15.8,44.4,null
005,146.2,37.4,19.8,39.9,null
006,169.6,46.0,24.9,50.5,null
007,163.8,42.2,29.4,45.5,null
008,218.7,50.1,34.8,53.9,null
009,216.2,48.3,40.0,51.3,null
010,165.1,52.2,45.5,55.7,null
011,188.6,53.3,51.5,57.6,null
012,146.9,51.0,56.9,54.3,null
013,175.5,54.9,62.8,58.3,null
014,192.8,59.7,69.3,65.0,null
015,272.9,70.4,76.8,75.0,null
016,211.9,65.2,84.2,74.5,null
017,232.4,82.2,93.7,94.2,null
018,193.0,78.9,102.5,88.7,null
019,184.3,81.5,111.5,89.6,null
020,199.9,87.9,121.5,99.9,null
021,189.7,82.8,131.3,94.9,null
022,189.1,92.4,142.0,107.2,null
023,202.2,100.0,153.4,114.4,null
024,283.8,103.2,165.5,120.1,null
025,210.4,105.5,177.9,124.0,null
026,178.1,98.4,189.3,114.2,null
027,188.7,102.7,201.6,122.8,null
028,212.1,102.3,213.5,119.4,null
029,191.1,103.5,225.6,120.4,null
030,216.9,108.1,238.3,127.0,null
031,209.1,106.7,251.1,125.1,null
032,247.3,105.1,263.6,125.1,null
033,227.0,108.2,276.9,132.5,null
034,205.6,114.8,291.0,140.6,null
035,199.2,107.4,304.7,137.3,null
036,195.9,112.7,319.0,143.1,null
037,210.4,115.9,333.8,147.7,null
038,209.1,121.6,349.9,161.4,null
039,194.4,130.9,367.3,173.3,null
040,200.4,131.6,384.7,174.4,null
041,212.7,132.1,402.5,173.3,null
042,207.8,132.1,419.9,174.3,null
043,203.0,135.1,437.9,179.5,null
044,211.4,137.9,456.4,185.7,null
045,192.6,136.7,475.0,185.8,null
046,206.5,138.3,493.8,187.6,null
047,199.6,139.1,512.5,186.8,null
048,205.6,137.9,531.3,187.9,null
049,206.2,138.9,549.9,186.7,null
050,203.5,137.1,568.8,188.1,null
051,204.5,141.8,588.3,190.8,null
052,205.8,133.3,606.4,180.8,null
053,204.6,136.3,625.1,187.1,null
054,208.3,135.9,643.8,186.8,null
055,204.6,134.0,662.0,181.5,null
056,205.0,137.8,680.8,187.7,null
057,215.8,134.0,700.0,192.5,null
058,199.4,138.5,719.6,195.9,null
059,196.0,138.1,739.1,195.3,null
