gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,428.3,124.5,0.2,18.8,null
002,464.7,171.2,0.5,26.6,"[0.24594204264346844, -1.87425494419637, 0.7576227180276798, 0.6110611184659999]"
003,466.5,220.8,0.8,36.1,"[0.24594204264346844, -1.87425494419637, 0.7576227180276798, 0.6110611184659999]"
004,449.8,237.6,1.2,34.4,null
005,477.9,294.6,1.6,45.6,"[0.24594204264346844, -0.725432040255766, 0.7576227180276798, 1.0475821792047397]"
006,491.3,281.9,2.1,43.3,"[0.24594204264346844, -0.725432040255766, 0.7576227180276798, 1.0475821792047397]"
007,485.7,374.1,2.6,52.6,"[0.24594204264346844, -0.725432040255766, 0.7576227180276798, 1.0475821792047397]"
008,489.0,332.5,3.1,50.2,"[0.24594204264346844, -0.725432040255766, 0.7576227180276798, 1.0475821792047397]"
009,492.1,358.1,3.6,53.9,"[0.24594204264346844, -0.725432040255766, 0.7576227180276798, 1.0475821792047397]"
010,487.2,427.1,4.2,59.0,[ 0.68789755 -0.26312625  1.40342907  0.88055851]
011,494.8,431.1,5.1,62.6,[1.1869497  0.01051014 0.58789629 0.51352072]
012,490.2,413.4,5.7,58.7,"[0.6878975508674204, -0.26312625135765144, 1.4034290736038808, 1.0475821792047397]"
013,497.6,394.0,6.2,53.1,"[1.1869497024173599, 0.010510144535271491, 0.587896291982757, 1.0475821792047397]"
014,497.4,392.9,6.8,59.3,"[1.1869497024173599, 0.010510144535271491, 0.587896291982757, 1.0475821792047397]"
015,497.4,396.3,7.4,59.3,"[1.1869497024173599, 0.010510144535271491, 0.587896291982757, 1.0475821792047397]"
016,497.5,397.2,8.0,57.9,"[1.1869497024173599, 0.010510144535271491, 0.587896291982757, 1.0475821792047397]"
017,498.3,406.6,8.5,57.3,"[1.1869497024173599, 0.010510144535271491, 0.587896291982757, 1.0475821792047397]"
018,497.9,441.8,9.1,62.0,"[1.1869497024173599, 0.010510144535271491, 0.587896291982757, 1.0475821792047397]"
019,497.0,445.2,9.8,63.5,"[1.1869497024173599, 0.010510144535271491, 0.587896291982757, 1.0475821792047397]"
020,497.4,421.7,10.4,60.5,"[1.1869497024173599, 0.010510144535271491, 0.587896291982757, 1.0475821792047397]"
021,497.7,402.2,11.3,62.4,"[1.1869497024173599, 0.010510144535271491, 0.587896291982757, 1.0475821792047397]"
022,497.3,415.7,11.9,62.6,"[1.1869497024173599, 0.010510144535271491, 0.587896291982757, 1.0475821792047397]"
023,498.0,440.9,12.5,62.4,"[1.1869497024173599, 0.010510144535271491, 0.587896291982757, 1.0475821792047397]"
024,498.0,396.8,13.1,56.1,"[1.1869497024173599, 0.010510144535271491, 0.587896291982757, 1.0475821792047397]"
025,497.1,397.3,13.6,53.6,"[1.1869497024173599, 0.010510144535271491, 0.587896291982757, 1.0475821792047397]"
