gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,482.4,58.0,0.1,5.4,[ 1.4562593  -0.37578338  0.91811539  0.48294524]
002,483.7,116.8,0.2,12.2,[ 1.4562593  -0.37578338  0.91811539  0.48294524]
003,485.8,213.8,0.4,23.9,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
004,491.0,269.5,0.7,27.9,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
005,488.2,423.0,1.1,43.0,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
006,489.0,437.9,1.6,46.4,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
007,487.8,435.9,2.0,41.0,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
008,488.1,435.4,2.4,39.5,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
009,487.5,435.9,2.8,39.3,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
010,492.3,435.6,3.2,40.9,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
011,487.0,453.6,3.6,40.0,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
012,484.9,434.4,4.0,40.9,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
013,487.6,454.8,4.4,39.7,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
014,490.3,437.3,4.8,37.5,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
015,488.1,435.5,5.2,38.0,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
016,491.7,461.0,5.6,40.9,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
017,489.7,451.2,6.0,38.1,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
018,489.7,484.9,6.4,42.4,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
019,485.9,453.9,6.8,40.0,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
020,486.1,434.7,7.2,37.2,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
021,493.0,483.2,7.6,43.2,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
022,491.7,446.2,8.0,38.1,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
023,492.7,437.1,8.4,39.0,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
024,488.1,389.3,8.8,38.2,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
025,487.6,439.0,9.2,39.4,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
026,490.9,440.2,9.6,40.0,"[0.6206896195768986, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
027,490.6,436.7,9.9,38.0,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
028,489.6,437.8,10.3,39.5,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
029,489.0,442.8,10.7,40.8,"[1.4562592962186345, -0.3757833777793735, 0.9181153942192718, 0.482945239454156]"
030,495.3,436.3,11.1,40.4,"[1.4562592962186345, 0.3950257492086251, 0.9181153942192718, 2.27192342278198]"
