gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,496.7,202.5,0.1,18.9,[1.22443243 0.70320582 0.9204142  1.74004936]
002,497.0,299.2,0.2,29.8,[1.22443243 0.70320582 0.9204142  1.74004936]
003,497.0,468.6,0.5,51.1,[1.22443243 0.70320582 0.9204142  1.74004936]
004,498.3,478.7,0.7,46.8,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
005,496.7,496.5,1.0,50.1,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
006,497.2,496.1,1.2,48.1,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
007,497.3,496.8,1.5,47.3,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
008,498.2,496.9,1.7,44.9,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
009,497.4,496.3,1.9,46.3,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
010,497.5,496.6,2.2,47.2,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
011,498.0,496.8,2.4,45.0,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
012,496.5,495.1,2.6,47.0,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
013,497.8,497.3,2.9,46.3,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
014,497.5,496.5,3.1,45.4,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
015,496.8,495.9,3.4,52.3,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
016,497.0,496.5,3.6,50.7,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
017,497.4,496.0,3.9,48.2,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
018,497.5,496.3,4.1,48.1,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
019,497.6,496.6,4.4,55.3,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
020,497.2,496.3,4.7,59.9,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
021,497.0,496.8,4.9,49.7,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
022,496.9,496.6,5.2,52.5,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
023,497.2,496.8,5.4,48.7,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
024,497.4,497.3,5.7,49.3,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
025,498.8,496.7,5.9,48.1,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
026,497.5,495.8,6.2,51.2,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
027,497.3,496.1,6.4,48.6,"[1.2244324342673252, 0.7032058177654995, 0.9204142047429195, 1.740049364762628]"
