gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,491.4,62.7,0.1,9.4,[0.91361951 0.21805101 1.0573508  0.82014268]
002,494.1,130.8,0.3,20.1,"[0.9136195146692514, 0.2180510056605284, 1.0244181070637532, 0.8201426819743526]"
003,496.0,232.4,0.6,33.0,[0.91361951 0.21805101 1.0573508  0.82014268]
004,495.7,322.9,1.1,47.3,"[0.9136195146692514, 0.2180510056605284, 1.0573508044281437, 0.8201426819743526]"
005,495.9,434.6,1.7,60.6,"[0.9136195146692514, 0.2180510056605284, 1.0573508044281437, 0.8201426819743526]"
006,495.4,398.4,2.3,55.6,"[0.9136195146692514, 0.2180510056605284, 1.0573508044281437, 0.8201426819743526]"
007,495.1,349.9,2.7,45.6,"[0.9136195146692514, 0.2180510056605284, 1.0573508044281437, 0.8201426819743526]"
008,497.7,447.6,3.3,59.9,[0.54850759 0.59132678 0.9351917  1.42539686]
009,496.1,396.8,3.8,51.5,[0.54850759 0.59132678 0.9351917  1.42539686]
010,497.5,443.1,4.5,60.8,"[0.548507594332169, 0.5913267830159156, 0.9351917030869527, 1.4253968559156718]"
011,497.2,445.6,5.3,60.7,"[0.548507594332169, 0.5913267830159156, 0.9351917030869527, 1.4253968559156718]"
012,497.6,410.2,5.8,55.2,"[0.548507594332169, 0.5913267830159156, 0.9351917030869527, 1.4253968559156718]"
013,497.0,398.2,6.4,56.4,"[0.548507594332169, 0.5913267830159156, 0.9351917030869527, 1.4253968559156718]"
014,498.2,349.7,6.9,50.2,"[0.548507594332169, 0.5913267830159156, 0.9351917030869527, 1.4253968559156718]"
015,497.7,301.0,7.3,43.8,"[0.548507594332169, 0.5913267830159156, 0.9351917030869527, 1.4253968559156718]"
016,497.7,370.5,7.9,55.4,"[0.548507594332169, 0.5913267830159156, 0.9351917030869527, 1.4253968559156718]"
017,497.8,368.1,8.4,50.2,"[0.548507594332169, 0.5913267830159156, 0.9351917030869527, 1.4253968559156718]"
018,496.5,399.7,8.9,52.1,"[0.548507594332169, 0.5913267830159156, 0.9351917030869527, 1.4253968559156718]"
019,497.9,399.7,9.4,55.0,"[0.548507594332169, 0.5913267830159156, 0.9351917030869527, 1.4253968559156718]"
020,497.4,446.6,10.1,61.0,[1.47200393 1.22329416 0.17046826 1.20572353]
021,497.2,401.7,11.0,64.2,[1.47200393 1.22329416 0.17046826 1.20572353]
022,498.6,421.9,11.5,57.8,[1.47200393 1.22329416 0.17046826 1.20572353]
023,498.3,422.7,12.1,57.4,[0.56889534 0.3954608  0.26054819 0.54597029]
024,498.8,365.8,12.6,49.8,"[0.5688953414805152, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
025,498.3,317.9,13.1,43.6,"[0.5688953414805152, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
026,498.6,405.4,13.6,54.7,"[0.5688953414805152, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
027,498.7,427.7,14.2,60.5,"[0.5688953414805152, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
028,498.7,371.3,14.7,52.3,"[0.5688953414805152, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
029,498.7,362.3,15.2,50.8,"[0.5688953414805152, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
030,499.0,398.4,15.8,55.8,"[0.5688953414805152, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
031,498.7,402.0,16.8,56.6,"[0.5688953414805152, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
032,498.7,405.2,17.3,56.7,"[0.5688953414805152, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
033,498.3,400.0,17.9,54.2,"[0.5688953414805152, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
034,498.6,340.2,18.3,45.5,"[0.5688953414805152, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
035,498.5,380.4,18.8,49.3,"[0.5688953414805152, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
036,498.8,357.4,19.3,48.6,"[0.5688953414805152, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
037,498.6,302.8,19.7,39.8,"[0.5688953414805152, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
038,498.6,402.6,20.2,53.9,"[0.8567151322982614, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
039,498.8,432.4,20.8,59.3,"[0.8567151322982614, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
040,498.8,413.5,21.4,57.0,"[0.8567151322982614, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
041,498.9,441.2,22.5,63.5,"[0.8567151322982614, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
042,498.8,400.1,23.0,53.4,"[0.8567151322982614, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
043,498.9,429.3,23.6,60.5,"[0.8567151322982614, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
044,498.8,400.4,24.2,58.6,"[0.8567151322982614, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
045,498.6,399.8,24.7,50.7,"[0.8567151322982614, 0.3954607997539098, 0.2605481878687404, 0.5459702947967227]"
