gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,130.9,26.2,0.0,3.6,null
002,434.7,92.1,0.2,13.1,null
003,435.6,145.4,0.4,24.6,null
004,457.1,212.0,0.7,33.2,"[0.18232826629132357, -0.9482669839189043, 1.0178777894329831, 0.2289630005107975]"
005,452.2,274.8,1.2,46.5,"[0.18232826629132357, -0.9482669839189043, 1.0178777894329831, 0.2289630005107975]"
006,482.6,354.9,1.8,54.8,"[0.18232826629132357, -0.27316109336375594, 0.6738618003854814, 0.23115300801030386]"
007,482.1,378.3,2.3,55.1,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
008,484.5,363.8,2.9,54.3,"[0.18232826629132357, -0.27316109336375594, 0.6738618003854814, 0.23115300801030386]"
009,484.3,366.3,3.4,54.3,"[0.18232826629132357, -0.27316109336375594, 0.6738618003854814, 0.23115300801030386]"
010,480.4,373.8,3.9,51.6,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
011,488.6,395.1,4.7,57.9,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
012,487.2,405.2,5.2,55.3,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
013,491.7,428.6,5.8,60.1,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
014,484.0,382.5,6.4,54.1,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
015,492.2,392.0,6.9,55.8,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
016,490.4,389.5,7.5,54.8,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
017,484.0,383.9,8.0,55.2,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
018,479.9,343.4,8.5,48.4,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
019,485.2,298.7,9.0,41.6,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
020,485.9,409.4,9.5,58.0,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
021,486.5,398.5,10.4,55.0,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
022,485.7,403.4,10.9,53.3,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
023,485.4,431.4,11.5,60.2,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
024,487.9,405.6,12.1,57.5,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
025,484.9,386.1,12.6,54.8,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
026,490.1,388.2,13.1,53.7,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
027,488.8,386.0,13.7,54.7,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
028,491.1,387.5,14.2,53.6,"[0.18232826629132357, -0.27316109336375594, 1.0178777894329831, 0.23115300801030386]"
