gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,153.5,25.4,1.5,15.2,null
002,133.9,33.2,3.5,19.3,null
003,136.4,37.6,5.7,21.9,null
004,164.7,45.0,8.4,27.6,null
005,120.0,49.0,11.4,29.3,null
006,127.8,45.8,14.3,28.9,null
007,143.4,51.1,17.4,31.9,null
008,182.3,51.9,20.7,32.6,null
009,130.9,52.6,24.1,33.7,null
010,216.9,53.2,27.5,34.2,null
011,223.5,59.2,31.6,38.9,null
012,213.1,67.0,36.0,43.3,null
013,164.4,67.4,40.5,44.7,null
014,235.8,77.5,45.5,50.5,null
015,242.6,73.9,50.4,48.8,null
016,169.1,71.5,55.2,47.5,null
017,158.6,65.6,59.6,44.8,null
