gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,123.5,22.6,4.6,45.8,null
002,107.3,26.6,9.8,52.4,null
003,141.7,26.2,14.9,50.3,null
004,138.8,35.3,21.8,69.3,null
005,164.9,35.8,28.5,67.0,null
006,163.5,37.7,35.3,67.4,null
007,183.8,39.5,42.8,75.5,null
008,157.6,40.5,51.3,84.5,null
009,182.1,44.3,60.3,90.7,null
010,162.6,41.6,69.2,89.0,null
011,199.0,43.6,77.9,86.6,null
012,163.9,43.0,86.2,82.8,null
013,146.6,51.7,95.7,95.2,null
014,171.6,44.4,104.1,83.7,null
015,193.4,51.0,113.8,97.3,null
016,172.6,51.7,123.4,95.6,null
017,161.7,59.1,135.4,120.4,null
018,182.6,55.0,146.3,108.3,null
019,163.6,58.6,156.8,105.9,null
020,185.0,60.4,167.6,107.6,null
021,200.1,61.1,179.0,114.4,null
022,186.1,65.9,191.1,120.2,null
023,256.4,64.7,202.6,114.9,null
024,181.1,67.1,215.2,126.6,null
