gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,21.3,11.5,0.0,1.1,null
002,18.6,12.3,0.0,1.1,null
003,20.4,13.7,0.0,1.3,null
004,19.0,16.3,0.0,1.6,null
005,22.0,17.5,0.0,1.6,null
006,19.8,17.2,0.0,1.7,null
007,22.3,17.8,0.1,1.8,null
008,26.3,18.4,0.1,1.6,null
009,21.3,17.9,0.1,2.0,null
010,20.9,18.1,0.1,1.6,null
011,23.4,18.5,0.1,1.7,null
012,24.3,20.0,0.1,1.9,null
013,21.4,18.4,0.1,1.7,null
014,21.4,17.7,0.1,1.7,null
015,18.4,15.6,0.1,1.4,null
016,24.4,17.3,0.1,1.7,null
017,20.4,18.2,0.2,1.8,null
018,24.6,18.3,0.2,2.0,null
019,22.7,20.3,0.2,1.9,null
020,20.6,17.4,0.2,1.9,null
021,21.7,19.2,0.2,2.2,null
022,19.7,18.0,0.2,1.6,null
023,19.1,16.6,0.2,1.6,null
024,20.7,17.0,0.2,1.6,null
025,22.4,19.4,0.2,1.9,null
026,21.3,18.8,0.2,1.8,null
027,20.2,17.2,0.3,1.8,null
028,22.7,18.9,0.3,2.3,null
029,19.4,16.7,0.3,1.8,null
030,21.5,18.7,0.3,1.9,null
031,21.2,17.4,0.3,1.8,null
032,19.5,16.8,0.3,1.9,null
033,17.8,16.6,0.3,1.7,null
034,21.7,19.1,0.3,2.4,null
035,20.5,18.0,0.3,1.9,null
036,21.0,18.3,0.4,2.5,null
037,22.9,19.6,0.4,2.3,null
038,19.4,16.8,0.4,1.9,null
039,20.4,17.9,0.4,1.8,null
040,21.6,18.5,0.4,2.0,null
041,21.1,18.2,0.4,1.9,null
042,15.8,14.1,0.4,1.5,null
043,18.0,16.1,0.4,1.9,null
044,19.2,17.6,0.4,1.7,null
045,20.7,18.7,0.5,1.9,null
046,23.0,19.1,0.5,2.0,null
047,19.1,16.9,0.5,1.6,null
048,21.7,18.5,0.5,1.7,null
049,18.6,16.7,0.5,1.6,null
050,21.7,18.3,0.5,2.6,null
