gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,202.7,28.1,2.1,20.9,null
002,109.8,34.0,4.6,25.2,null
003,138.2,35.7,7.2,25.6,null
004,108.9,37.9,10.0,28.2,null
005,139.0,38.5,12.9,28.8,null
006,124.4,39.3,15.8,28.8,null
007,196.5,46.3,19.1,33.1,null
008,137.2,40.2,22.0,29.3,null
009,120.7,41.5,25.1,30.5,null
010,203.6,48.2,28.7,35.9,null
011,153.8,44.3,32.4,34.2,null
012,146.9,49.5,36.0,36.6,null
013,178.3,54.8,40.1,40.4,null
014,138.7,49.6,43.9,37.9,null
015,216.1,53.0,47.8,39.4,null
016,179.0,49.0,51.5,36.8,null
017,148.4,61.3,56.3,47.9,null
018,203.3,57.1,61.0,47.3,null
019,158.7,55.2,65.3,42.8,null
020,200.6,55.4,69.4,41.2,null
021,174.9,48.6,73.5,37.0,null
022,240.1,61.5,78.2,47.4,null
023,478.9,72.8,83.7,54.5,11111100101011110101111110010101101101010101011111000010111100010000111100010011111110000010000100101100101111010110011001110000
024,203.0,57.3,88.1,44.4,null
025,232.2,65.6,93.3,51.3,null
026,232.8,60.7,98.0,47.1,null
027,243.9,64.4,102.8,48.0,null
028,170.5,57.3,107.1,42.9,null
029,224.7,67.6,112.2,51.3,null
030,232.7,65.1,117.3,50.9,null
031,262.7,65.9,122.8,51.7,null
032,208.4,76.2,128.8,59.9,null
033,232.9,71.0,134.2,53.9,null
034,277.4,94.3,141.4,71.7,null
035,252.6,107.2,149.8,84.0,null
036,272.4,114.8,158.8,90.1,null
037,243.8,113.8,167.9,90.4,null
038,276.2,111.5,176.6,87.6,null
039,249.9,116.7,186.2,95.8,null
040,322.1,121.7,195.8,96.0,null
041,292.3,113.8,205.5,92.5,null
042,279.6,106.6,214.1,85.6,null
043,416.3,224.8,232.3,182.1,null
044,254.8,106.0,241.0,87.0,null
045,257.0,109.4,250.0,89.7,null
046,248.7,112.9,259.3,92.5,null
047,253.3,120.5,268.8,95.2,null
048,263.7,111.5,278.0,91.6,null
049,242.3,112.4,286.9,89.1,null
050,233.6,104.8,295.5,85.8,null
051,291.3,114.0,305.4,94.0,null
052,241.0,105.9,313.9,85.2,null
053,275.1,104.9,322.3,84.2,null
054,249.0,98.1,330.2,78.6,null
055,269.8,124.0,340.2,100.0,null
056,286.8,126.6,350.4,102.0,null
057,259.9,121.2,360.1,96.4,null
058,253.0,115.6,369.3,92.4,null
059,261.0,118.2,378.8,94.6,null
060,279.2,123.3,388.7,99.1,null
061,251.2,118.9,398.8,95.0,null
062,288.6,123.2,408.5,97.3,null
063,284.8,118.7,418.1,95.2,null
064,294.2,124.1,428.1,100.3,null
065,326.9,121.8,437.8,97.5,null
066,248.8,124.2,447.7,98.1,null
067,248.1,117.9,456.9,92.8,null
068,286.7,124.3,466.8,98.5,null
069,262.5,123.2,476.5,97.0,null
070,290.9,126.1,486.5,99.6,null
071,247.9,125.6,497.2,100.1,null
072,280.0,129.9,507.5,103.2,null
073,349.5,127.1,517.4,99.5,null
074,257.0,126.4,527.6,101.7,null
075,296.3,136.1,538.4,108.2,null
076,325.8,117.5,547.8,93.9,null
077,286.9,123.7,557.6,97.8,null
078,254.5,127.6,567.7,100.8,null
079,310.8,128.7,578.0,103.0,null
080,264.4,115.3,587.3,92.7,null
081,350.4,130.1,598.3,103.2,null
082,313.2,133.2,609.0,106.4,null
083,346.0,119.9,618.6,96.1,null
084,263.1,125.6,628.7,100.8,null
085,266.6,123.7,638.5,98.4,null
086,347.7,123.2,648.4,98.7,null
087,279.2,120.3,658.8,103.5,null
088,251.5,113.4,668.7,98.8,null
089,225.0,119.0,678.4,97.6,null
090,320.1,125.9,688.6,101.9,null
091,292.4,126.0,699.6,100.9,null
092,298.1,120.1,709.4,97.7,null
093,380.3,120.1,719.4,100.0,null
094,330.2,128.3,729.8,104.0,null
095,280.2,120.1,739.5,96.7,null
096,227.7,98.7,747.3,78.4,null
097,313.8,124.5,757.4,101.1,null
098,277.5,131.1,768.2,108.0,null
099,243.9,112.7,777.3,90.7,null
100,330.8,127.6,787.7,104.0,null
