gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,126.2,25.7,1.5,15.4,null
002,166.3,33.4,3.6,20.0,null
003,120.7,31.7,5.3,17.7,null
004,144.9,36.5,7.4,20.4,null
005,143.0,39.4,9.6,22.1,null
006,157.5,43.9,12.0,24.1,null
007,254.1,47.6,14.7,26.5,null
008,184.2,44.7,17.3,25.9,null
009,179.3,41.9,19.7,24.1,null
010,186.6,47.2,22.4,27.1,null
011,169.9,50.4,25.6,30.0,null
012,263.2,53.4,28.7,30.9,null
013,235.7,51.4,31.7,30.3,null
014,197.9,56.6,35.1,33.8,null
015,259.0,55.9,38.4,32.9,null
016,178.8,58.2,41.7,33.2,null
017,228.4,55.8,45.0,32.5,null
018,230.1,54.8,48.3,32.4,null
019,225.1,55.0,51.5,31.9,null
020,202.2,61.4,55.1,36.9,null
021,257.7,59.4,59.0,35.1,null
022,276.7,60.4,62.5,34.7,null
023,302.9,62.8,66.2,37.1,null
024,261.2,62.6,70.1,38.9,null
025,249.8,62.3,73.8,37.0,null
026,209.0,57.5,77.2,34.1,null
027,303.9,68.3,81.2,39.8,null
028,303.8,73.1,85.7,44.5,null
029,366.7,86.1,90.8,51.7,null
030,359.5,107.4,97.1,62.5,null
031,322.1,138.1,105.7,81.4,null
032,360.7,165.4,115.6,98.6,null
033,339.5,160.9,125.4,98.0,null
034,434.4,174.8,135.5,101.0,null
035,383.6,181.3,146.1,106.4,null
036,391.4,181.9,156.9,107.2,null
037,370.5,180.3,167.7,108.5,null
038,375.6,174.9,178.1,103.2,null
039,378.5,184.7,189.1,110.4,null
040,421.2,217.4,201.9,127.9,null
041,396.5,199.3,214.6,121.8,null
042,433.3,205.7,227.1,124.8,null
043,433.2,216.7,240.0,129.0,null
044,399.0,233.4,253.7,137.5,null
045,417.6,208.5,266.2,124.7,null
046,425.0,228.3,279.8,136.3,null
047,394.6,205.5,292.1,122.7,null
048,420.9,212.0,304.8,126.9,null
049,400.9,221.1,318.1,132.9,null
050,365.0,205.8,330.4,123.0,null
051,356.5,207.4,343.5,125.2,null
052,415.5,223.8,356.9,133.6,null
053,430.2,210.7,369.7,127.8,null
054,376.7,212.3,382.5,128.1,null
055,418.3,217.8,395.4,128.9,null
056,452.6,250.4,410.2,148.4,10011111100110101001101010000110101111011001010011000110000011110110001110101110100001111010101100110101010001110101100011111001
057,404.2,228.1,423.9,136.4,null
058,365.8,221.9,437.2,132.8,null
059,424.8,235.3,451.6,144.0,null
060,446.9,217.2,464.4,128.4,null
061,444.0,231.0,479.2,141.1,null
062,432.4,206.4,491.8,125.6,null
063,383.0,214.8,504.7,128.9,null
064,403.7,217.0,518.1,133.7,null
065,328.4,215.1,531.5,133.8,null
066,402.1,228.3,545.8,143.5,null
067,388.0,223.4,559.7,138.7,null
068,426.5,230.5,573.9,141.7,null
069,393.7,201.9,586.5,125.9,null
070,392.9,215.5,599.8,133.4,null
071,416.4,224.4,614.4,138.2,null
072,423.5,227.1,628.1,137.1,null
073,447.9,221.2,641.6,135.1,null
074,436.5,238.8,656.2,145.5,null
075,413.9,241.7,671.7,154.9,null
076,425.4,213.7,685.2,134.7,null
077,427.3,223.9,699.0,138.2,null
078,450.0,212.0,712.4,134.4,null
079,462.9,232.1,727.1,146.3,10011111100110101001101010000110101111011001010011000110000011110110001110101111100001111010101100110101010001110101100011111001
080,406.6,210.4,740.4,132.9,null
081,359.3,210.3,754.9,135.9,null
082,429.0,224.9,769.1,141.8,null
083,395.7,197.6,781.5,124.4,null
084,390.1,225.5,795.8,142.7,null
085,413.6,211.3,808.9,131.1,null
086,403.3,216.8,822.4,135.2,null
087,346.9,204.7,835.2,127.2,null
088,411.6,210.7,848.0,128.4,null
089,362.1,212.7,861.6,136.1,null
090,370.5,212.7,875.0,134.0,null
091,433.5,239.8,891.1,150.4,null
092,355.8,201.8,904.2,130.7,null
093,414.7,228.1,918.4,141.9,null
094,395.0,226.8,932.6,142.8,null
095,388.8,201.6,945.5,129.0,null
096,406.7,221.4,959.7,141.2,null
097,416.2,221.0,973.5,138.5,null
098,420.5,221.3,987.8,142.4,null
099,433.1,223.1,1002.0,142.2,null
100,385.7,221.6,1016.3,143.1,null
