gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,11.0,9.4,0.0,0.9,null
002,19.4,11.4,0.0,1.6,null
003,25.9,13.2,0.0,1.4,null
004,30.2,16.6,0.0,2.3,null
005,41.1,18.7,0.1,1.7,null
006,28.5,16.9,0.1,1.6,null
007,33.5,21.3,0.1,2.4,null
008,30.4,23.3,0.1,2.1,null
009,29.7,21.9,0.1,1.9,null
010,24.5,19.7,0.1,2.0,null
011,35.2,25.7,0.1,4.0,null
012,33.3,24.7,0.1,2.6,null
013,29.7,26.0,0.2,2.7,null
014,34.2,26.2,0.2,2.7,null
015,24.2,20.5,0.2,2.8,null
016,31.4,24.8,0.2,2.4,null
017,31.4,25.0,0.2,2.6,null
018,33.1,24.1,0.2,2.5,null
019,29.2,23.2,0.2,2.7,null
020,31.4,25.9,0.3,3.4,null
021,30.7,26.8,0.3,2.6,null
022,45.7,27.1,0.3,3.5,null
023,34.4,26.8,0.3,3.3,null
024,32.7,26.7,0.3,3.5,null
025,38.0,30.2,0.3,3.1,null
026,32.9,26.6,0.4,2.8,null
027,41.1,23.9,0.4,2.2,null
028,30.4,22.5,0.4,2.2,null
029,39.3,27.1,0.4,3.1,null
030,26.4,22.1,0.4,2.5,null
031,31.0,24.8,0.4,3.3,null
032,25.3,23.1,0.4,2.9,null
033,29.5,25.6,0.5,3.1,null
034,23.9,19.6,0.5,2.1,null
035,32.0,25.3,0.5,3.0,null
036,43.5,27.3,0.5,3.0,null
037,32.9,24.0,0.5,3.0,null
038,38.8,25.0,0.5,2.9,null
039,30.6,24.9,0.6,2.5,null
040,26.0,22.3,0.6,2.2,null
041,28.3,24.9,0.6,2.7,null
042,37.6,27.6,0.6,3.3,null
043,38.1,25.0,0.6,2.9,null
044,32.4,26.1,0.6,3.4,null
045,30.6,23.7,0.6,3.2,null
046,32.2,27.1,0.7,2.7,null
047,39.8,27.0,0.7,3.0,null
048,30.6,26.1,0.7,3.0,null
049,34.4,24.1,0.7,2.4,null
050,39.6,27.8,0.7,3.0,null
