gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,311.3,98.0,0.1,13.1,null
002,287.5,116.2,0.2,22.6,null
003,286.6,118.1,0.3,16.7,null
004,435.1,209.5,0.4,26.3,null
005,425.5,267.2,0.6,31.4,null
006,475.4,373.5,0.7,36.9,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
007,490.6,352.1,0.9,40.3,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
008,453.7,439.9,1.2,54.2,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
009,460.7,442.3,1.5,51.3,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
010,451.5,415.9,1.7,46.5,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
011,458.7,454.9,1.9,42.9,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
012,467.7,429.2,2.2,46.2,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
013,478.3,445.7,2.4,43.3,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
014,486.2,446.3,2.6,43.0,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
015,454.8,438.2,2.8,43.8,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
016,464.6,415.2,3.0,41.5,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
017,464.5,429.9,3.2,44.7,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
018,455.0,429.9,3.5,45.4,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
019,476.2,451.7,3.7,45.1,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
020,424.2,397.2,3.9,43.0,null
021,456.0,426.5,4.1,43.6,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
022,479.4,440.4,4.4,46.2,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
023,474.9,439.6,4.6,48.5,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
024,453.5,440.2,4.8,44.5,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
025,487.9,452.9,5.1,43.5,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
026,475.6,440.0,5.3,44.2,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
027,472.1,452.0,5.5,44.7,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
028,461.7,441.9,5.7,41.6,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
029,461.9,431.0,5.9,45.5,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
030,455.1,418.3,6.2,44.7,"[-0.08384608504440562, 0.19335398463830583, 0.5357827208858454, 0.592289888192179]"
