gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,30.5,13.1,0.0,1.6,null
002,34.0,18.3,0.0,2.0,null
003,39.8,28.1,0.0,3.7,null
004,37.7,32.4,0.1,4.3,null
005,38.1,31.4,0.1,3.0,null
006,36.1,32.5,0.1,3.4,null
007,34.7,29.9,0.1,3.7,null
008,37.8,31.4,0.1,3.0,null
009,34.5,32.8,0.1,3.3,null
010,35.1,30.4,0.2,3.1,null
011,37.0,32.7,0.2,4.4,null
012,53.6,36.6,0.2,4.5,null
013,38.5,34.3,0.2,4.4,null
014,41.3,32.9,0.3,3.4,null
015,36.1,32.6,0.3,4.9,null
016,34.8,32.1,0.3,3.4,null
017,43.5,32.7,0.3,3.7,null
018,36.4,30.4,0.3,4.3,null
019,35.0,30.5,0.4,3.4,null
020,36.0,31.3,0.4,3.1,null
021,33.6,30.3,0.4,4.9,null
022,31.3,29.8,0.4,4.7,null
023,37.3,32.4,0.4,3.6,null
024,42.0,35.0,0.5,3.9,null
025,38.1,32.8,0.5,3.3,null
026,42.0,35.2,0.5,3.6,null
027,43.3,35.5,0.5,4.5,null
028,37.7,33.0,0.6,4.9,null
029,38.3,35.6,0.6,4.0,null
030,36.8,34.5,0.6,3.7,null
