gen,maxR,avgR,dT,aT(ms),best_genome_over_450
001,255.0,26.6,1.6,15.9,null
002,214.4,40.7,4.0,23.9,null
003,150.2,44.6,6.6,26.4,null
004,144.7,45.2,9.4,27.3,null
005,177.1,51.3,12.6,32.2,null
006,258.1,52.4,15.8,31.6,null
007,192.2,60.8,19.5,37.1,null
008,215.4,65.4,23.6,40.6,null
009,194.3,70.9,28.0,44.0,null
010,306.4,67.3,32.0,40.8,null
011,173.0,75.7,36.9,45.7,null
012,344.0,81.4,41.9,50.4,null
013,197.9,75.6,46.5,45.8,null
014,217.3,77.4,51.3,48.1,null
015,245.0,78.1,56.2,48.3,null
016,240.0,89.7,61.7,55.6,null
017,228.6,102.8,68.5,67.5,null
018,320.9,114.2,76.0,74.9,null
019,265.8,117.8,83.7,76.7,null
020,269.3,117.6,91.5,78.3,null
021,288.6,117.8,99.8,79.8,null
022,326.9,123.5,108.4,85.1,null
023,478.9,137.3,117.5,91.3,01111100000001000101101101101100110010011001001011010011101000110100111101110011111010100110011011110110011101101100000100111110
024,283.5,123.6,125.9,83.5,null
025,319.7,127.0,134.5,86.4,null
026,309.3,133.7,143.7,92.2,null
027,311.5,125.9,152.2,84.7,null
028,295.4,124.8,160.8,86.1,null
029,370.8,128.6,170.7,99.0,null
030,359.6,128.6,180.1,93.6,null
031,282.1,124.4,189.3,87.4,null
032,307.0,117.4,197.6,83.3,null
033,330.7,127.7,207.3,96.4,null
034,283.3,125.7,216.3,90.0,null
035,298.2,129.9,225.6,93.1,null
036,309.1,118.4,233.9,83.0,null
037,353.7,134.9,243.0,91.1,null
038,346.8,129.5,251.9,88.7,null
039,324.2,118.2,260.2,82.9,null
040,397.8,125.2,268.6,84.2,null
041,373.0,136.0,278.2,89.9,null
042,375.1,139.4,287.4,92.1,null
043,440.9,207.5,300.6,131.6,null
044,463.0,207.1,313.4,128.3,01000101000011101010000100001011101111101011110000001101110001001000010101010100110110001010010010001001101111001111001101011101
045,352.8,175.3,324.6,111.5,null
046,375.6,188.9,337.0,124.4,null
047,449.4,202.2,350.0,129.5,null
048,378.1,191.7,362.3,122.8,null
049,437.9,182.7,374.5,121.8,null
050,396.3,163.4,385.3,108.8,null
051,358.1,179.8,398.7,127.2,null
052,421.1,196.9,412.3,135.5,null
053,448.3,302.8,430.7,184.3,null
054,454.8,196.8,443.5,128.0,01000101000011101010000100001011101111101011110000001101110001001000010101010100110110001010010010001001101111001111001101011101
055,419.3,196.6,456.4,128.7,null
056,471.0,200.9,469.5,130.7,01000101000011101010000100001011101111101011110000001101110001001000010101010100110110001010010010001001101111001111001101011101
057,428.1,196.2,482.0,125.0,null
058,332.3,88.1,488.4,64.1,null
059,421.2,185.5,500.5,121.3,null
060,410.9,186.2,512.8,122.6,null
061,448.9,206.2,526.6,131.1,null
062,356.2,185.0,539.0,123.2,null
063,340.4,178.1,550.7,117.0,null
064,455.5,203.6,563.9,132.6,01000101000011101011000100001011101111101011110000001101110001001000010101010100110110001010010010001001101111001111001101011101
065,411.4,191.1,576.4,124.8,null
066,417.7,206.4,589.9,134.4,null
067,457.1,215.0,603.6,137.5,01000101000011101010000100001011101111101011110000001101110001001000010101010100110110001010010010001001101111001111001101011101
068,396.1,182.1,615.7,120.8,null
